index,author,tweet,label,polarity,nouns
1,@StaticWyre,When you laugh at Mia Khalifa for having HIV but realize she ain't dropping no more vids ever again,Positive,0.024999999999999994,['mia khalifa', 'hiv', "ai n't"]
2,@_labr33,when you at mia khalifa's bbq and see a mosquito,Neutral,0.0,["mia khalifa 's bbq"]
3,@groovvyodd,when you at mia khalifa's bbq and see a mosquito,Neutral,0.0,["mia khalifa 's bbq"]
4,@D4R10N,If Mia Khalifa and Magic Johnson fuck won't the HIV cancel out? Ain't that PEMDAS or some shit?,Negative,-0.03333333333333335,['mia khalifa', 'magic johnson', "fuck wo n't", 'hiv', 'ai', 'pemdas']
5,@imryanbeasley,Mia Khalifa Responds to HIV-Positive Rumors With 'It's Always Sunny' Joke,Neutral,0.0,['mia khalifa responds', 'hiv-positive rumors', "'it 's", 'sunny', 'joke']
6,@_IKENNA_,To the guys that Mia khalifa curved- the Lord works in mysterious ways!,Neutral,0.0,['mia', 'khalifa curved-', 'lord works', 'mysterious ways']
7,@fransnielsen,if Mia Khalifa isn't part of your favourite hockey team's fan base,Negative,-0.8,['mia khalifa', "n't part", "favourite hockey team 's fan base"]
8,@sirjamesthegood,when you at mia khalifa's bbq and see a mosquito,Neutral,0.0,["mia khalifa 's bbq"]
9,@OMGitsNickH,"Mia khalifa got hiv bro. If you beat off to her you got hiv by association",Neutral,0.0,['mia', 'hiv bro']
10,@Shakespeare__Jr,"Mia khalifa got hiv bro. If you beat off to her you got hiv by association",Neutral,0.0,['mia', 'hiv bro']
11,@princesslivie01,Mia Khalifa got hiv If you ever beat your dick to Mia her videos you need to go get tested,Neutral,0.0,['mia khalifa', 'mia']
12,@Jay_Sanchez_24,Gotta unbeat my meat after finding out Mia Khalifa has HIV smh,Neutral,0.0,['got', 'ta unbeat', 'mia khalifa', 'hiv']
13,@keithbroook,if Mia Khalifa isn't part of your favourite hockey team's fan base,Negative,-0.8,['mia khalifa', "n't part", "favourite hockey team 's fan base"]
14,@Kyle_jackson200,Mia Khalifa askin Magic Johnson for the HIV cure,Positive,0.5,['mia khalifa', 'magic johnson', 'hiv']
15,@grooovy__,Who tf is mia Khalifa?,Neutral,0.0,['who', 'khalifa']
16,@DarkskinAabo,When Mia khalifa and Magic Johnson run into each other to collect their antiretrovirals at the hospital,Positive,0.1875,['mia', 'magic johnson']
17,@reenUghh,Mia Khalifa has aids at least she's finally doing something positive with her life,Negative,-0.024242424242424242,['mia khalifa']
18,@KingWright__,when you at mia khalifa's bbq and see a mosquito,Neutral,0.0,["mia khalifa 's bbq"]
19,@HoseRamirez,Mia Khalifa addresses viral rumor that she is HIV positive:,Positive,0.22727272727272727,['mia khalifa', 'addresses viral rumor', 'hiv']
20,@brandonalcien,When Mia Khalifa goes to the club and hands the DJ her playlist,Neutral,0.0,['mia khalifa', 'dj']
21,@BRAZYBB,Doctor:How did you contract HIV?Mia Khalifa:,Neutral,0.0,['hiv', 'mia khalifa']
22,@JennaMorley,If Mia Khalifa and Magic Johnson fuck won't the HIV cancel out? Ain't that PEMDAS or some shit?,Negative,-0.03333333333333335,['mia khalifa', 'magic johnson', "fuck wo n't", 'hiv', 'ai', 'pemdas']
23,@CeeCeeDemmer,If Mia Khalifa and Magic Johnson fuck won't the HIV cancel out? Ain't that PEMDAS or some shit?,Negative,-0.03333333333333335,['mia khalifa', 'magic johnson', "fuck wo n't", 'hiv', 'ai', 'pemdas']
24,@shamid94,When you laugh at Mia Khalifa for having HIV but realize she ain't dropping no more vids ever again,Positive,0.024999999999999994,['mia khalifa', 'hiv', "ai n't"]
25,@mursal_ldn,"Mia khalifa got hiv bro. If you beat off to her you got hiv by association",Neutral,0.0,['mia', 'hiv bro']
26,@MarcusShoulders,If Mia Khalifa and Magic Johnson fuck won't the HIV cancel out? Ain't that PEMDAS or some shit?,Negative,-0.03333333333333335,['mia khalifa', 'magic johnson', "fuck wo n't", 'hiv', 'ai', 'pemdas']
27,@Jaylive212,If Mia Khalifa and Magic Johnson fuck won't the HIV cancel out? Ain't that PEMDAS or some shit?,Negative,-0.03333333333333335,['mia khalifa', 'magic johnson', "fuck wo n't", 'hiv', 'ai', 'pemdas']
28,@heatk1cks,If Mia Khalifa and Magic Johnson fuck won't the HIV cancel out? Ain't that PEMDAS or some shit?,Negative,-0.03333333333333335,['mia khalifa', 'magic johnson', "fuck wo n't", 'hiv', 'ai', 'pemdas']
29,@RickyScaZeD,when you at mia khalifa's bbq and see a mosquito,Neutral,0.0,["mia khalifa 's bbq"]
30,@Antonio_sciarap,When you laugh at Mia Khalifa for having HIV but realize she ain't dropping no more vids ever again,Positive,0.024999999999999994,['mia khalifa', 'hiv', "ai n't"]
31,@MaxDubravin,mia khalifa trying to get magic johnson to cough up the cure for HIV,Positive,0.5,['mia khalifa', 'magic johnson', 'hiv']
32,@IvanSplxsh,If Mia Khalifa and Magic Johnson fuck won't the HIV cancel out? Ain't that PEMDAS or some shit?,Negative,-0.03333333333333335,['mia khalifa', 'magic johnson', "fuck wo n't", 'hiv', 'ai', 'pemdas']
33,@DezhinDesigns,I'd fuck Mia Khalifa..... no fucks given.,Negative,-0.4,["'d fuck", 'mia khalifa', '... ..']
34,@Virtueguap,MIA KHALIFA GOT HIV? i gotta unbeat my meat,Neutral,0.0,['mia khalifa got hiv', 'ta unbeat']
35,@_onovni,Mia Khalifa got hiv If you ever beat your dick to Mia her videos you need to go get tested,Neutral,0.0,['mia khalifa', 'mia']
36,@davisjohan_,Lmao can't beat to Mia Khalifa anymore gon catch HIV through the screen,Positive,0.6,['lmao', "ca n't", 'mia khalifa', 'gon catch', 'hiv']
37,@dylan_freddy2,If Mia Khalifa and Magic Johnson fuck won't the HIV cancel out? Ain't that PEMDAS or some shit?,Negative,-0.03333333333333335,['mia khalifa', 'magic johnson', "fuck wo n't", 'hiv', 'ai', 'pemdas']
38,@Ssj2abdiDualeh,when you at mia khalifa's bbq and see a mosquito,Neutral,0.0,["mia khalifa 's bbq"]
39,@PupusaKilla,when you at mia khalifa's bbq and see a mosquito,Neutral,0.0,["mia khalifa 's bbq"]
40,@fuckboyrod,Mia Khalifa lmfaooo,Neutral,0.0,['mia khalifa']
41,@KENDRlCKS,I'd fuck Mia Khalifa..... no fucks given.,Negative,-0.4,["'d fuck", 'mia khalifa', '... ..']
42,@ProjectPatt_,when you at mia khalifa's bbq and see a mosquito,Neutral,0.0,["mia khalifa 's bbq"]
43,@JaramilloDee00,If Mia Khalifa and Magic Johnson fuck won't the HIV cancel out? Ain't that PEMDAS or some shit?,Negative,-0.03333333333333335,['mia khalifa', 'magic johnson', "fuck wo n't", 'hiv', 'ai', 'pemdas']
44,@JaramilloDee00,Mia Khalifa got HIV? Damn now her T-cell count trash just like her pornos,Neutral,0.0,['mia khalifa', 'hiv', 'damn', 't-cell']
45,@MohB95_,"Mia khalifa got hiv bro. If you beat off to her you got hiv by association",Neutral,0.0,['mia', 'hiv bro']
46,@MT_Tende,Every dude who has beat their meat to Mia Khalifa videos in the past year rn,Negative,-0.25,['mia khalifa', 'past year rn']
47,@MikeJordan_98,When you laugh at Mia Khalifa for having HIV but realize she ain't dropping no more vids ever again,Positive,0.024999999999999994,['mia khalifa', 'hiv', "ai n't"]
48,@x_Aneesa_x,"Mia khalifa got hiv bro. If you beat off to her you got hiv by association",Neutral,0.0,['mia', 'hiv bro']
49,@yahya_official,How are people tweeting Mia Khalifa is Wiz Khalifas sister 😂😂😂😂😂,Neutral,0.0,['mia khalifa', 'wiz khalifas', 'sister 😂😂😂😂😂']
50,@LalleRyan,if Mia Khalifa isn't part of your favourite hockey team's fan base,Negative,-0.8,['mia khalifa', "n't part", "favourite hockey team 's fan base"]
51,@VirtueNova_,MIA KHALIFA GOT HIV? i gotta unbeat my meat,Neutral,0.0,['mia khalifa got hiv', 'ta unbeat']
52,@sabwizzle,If Mia Khalifa and Magic Johnson fuck won't the HIV cancel out? Ain't that PEMDAS or some shit?,Negative,-0.03333333333333335,['mia khalifa', 'magic johnson', "fuck wo n't", 'hiv', 'ai', 'pemdas']
53,@nangal_,SO U MEAN TO TELL ME WIZ KHALIFAS LIL SISTER MIA KHALIFA GOT HIV... ON 4/20 🤔 GOVERMENT PLANNIN SOMETHIN BIG STAY WOKE…,Negative,-0.15625,['so u mean to tell me wiz khalifas lil sister mia khalifa got hiv', 'on', 'goverment plannin somethin big stay woke…']
54,@angel_rojas9,If Mia Khalifa and Magic Johnson fuck won't the HIV cancel out? Ain't that PEMDAS or some shit?,Negative,-0.03333333333333335,['mia khalifa', 'magic johnson', "fuck wo n't", 'hiv', 'ai', 'pemdas']
55,@Tar_Heel_Tony,"Mia khalifa got hiv bro. If you beat off to her you got hiv by association",Neutral,0.0,['mia', 'hiv bro']
56,@steinbraker,when you at mia khalifa's bbq and see a mosquito,Neutral,0.0,["mia khalifa 's bbq"]
57,@nhadlyn,Mia Khalifa has HIV??*pretends to be shocked*,Negative,-0.7,['mia khalifa', 'hiv']
58,@Hkwest,Mia khalifa is a rat pornstar,Neutral,0.0,['mia', 'rat pornstar']
59,@SteezeFinesse,If Mia Khalifa and Magic Johnson fuck won't the HIV cancel out? Ain't that PEMDAS or some shit?,Negative,-0.03333333333333335,['mia khalifa', 'magic johnson', "fuck wo n't", 'hiv', 'ai', 'pemdas']
60,@yahya_official,I thought Mia khalifa was wiz khalifa's son wtf,Negative,-0.5,['mia', "wiz khalifa 's son wtf"]
61,@hotnews_trendus,New post (Mia Khalifa Records Herself Getting Ready And Twitter Goes ...) has been published on -…,Positive,0.16818181818181818,['new post', 'mia khalifa records herself', 'ready', 'twitter goes']
62,@_kvngbehn,Mia Khalifa got hiv If you ever beat your dick to Mia her videos you need to go get tested,Neutral,0.0,['mia khalifa', 'mia']
63,@uItninemuses,what did mia khalifa even do to get dragged this hard for being hiv positive 👀 I'm curious,Negative,-0.05479797979797981,['mia khalifa', 'positive 👀']
64,@danny200022,when you at mia khalifa's bbq and see a mosquito,Neutral,0.0,["mia khalifa 's bbq"]
65,@Kds_25,Every dude who has beat their meat to Mia Khalifa videos in the past year rn,Negative,-0.25,['mia khalifa', 'past year rn']
66,@Juman1287,First and only official statement I'll make regarding this ridiculous rumor. Thank you,Negative,-0.027777777777777773,['official statement', 'ridiculous rumor', 'thank']
67,@kruse_laura,Mia Khalifa lmfaooo,Neutral,0.0,['mia khalifa']
68,@T_Mo_2020,when you at mia khalifa's bbq and see a mosquito,Neutral,0.0,["mia khalifa 's bbq"]
69,@ZachStrafelda,Wait Mia Khalifa got HIV?Whats the big deal?She can just smash Charlie sheen and it'll cancel out I think its called…,Neutral,0.0,['wait mia khalifa', 'hiv', 'whats', 'charlie']
70,@Sofiathequeen91,Mia Khalifa getting HIV clearly God's punishment for the hijab threesome porn video with stepmom,Positive,0.10000000000000002,['mia khalifa', 'hiv', 'god', "'s punishment", 'hijab threesome porn video']
71,@MickeySpan,Wait Mia Khalifa got HIV?Whats the big deal?She can just smash Charlie sheen and it'll cancel out I think its called…,Neutral,0.0,['wait mia khalifa', 'hiv', 'whats', 'charlie']
72,@DjHigh_Demand,when you at mia khalifa's bbq and see a mosquito,Neutral,0.0,["mia khalifa 's bbq"]
73,@__DavidV,when you at mia khalifa's bbq and see a mosquito,Neutral,0.0,["mia khalifa 's bbq"]
74,@berniememegod,If Mia Khalifa and Magic Johnson fuck won't the HIV cancel out? Ain't that PEMDAS or some shit?,Negative,-0.03333333333333335,['mia khalifa', 'magic johnson', "fuck wo n't", 'hiv', 'ai', 'pemdas']
75,@Kamx___12,If Mia Khalifa and Magic Johnson fuck won't the HIV cancel out? Ain't that PEMDAS or some shit?,Negative,-0.03333333333333335,['mia khalifa', 'magic johnson', "fuck wo n't", 'hiv', 'ai', 'pemdas']
76,@micoleee_,If Mia Khalifa and Magic Johnson fuck won't the HIV cancel out? Ain't that PEMDAS or some shit?,Negative,-0.03333333333333335,['mia khalifa', 'magic johnson', "fuck wo n't", 'hiv', 'ai', 'pemdas']
77,@CountOnRodney,Mia Khalifa getting HIV clearly God's punishment for the hijab threesome porn video with stepmom,Positive,0.10000000000000002,['mia khalifa', 'hiv', 'god', "'s punishment", 'hijab threesome porn video']
