index,author,tweet,label,polarity,nouns
49,@redsaintuk,Experts believe Serena Williams will have a baby boy as women are from Venus.,Neutral,0.0,['serena williams', 'baby boy', 'venus']
50,@lu1820,Experts believe Serena Williams will have a baby boy as women are from Venus.,Neutral,0.0,['serena williams', 'baby boy', 'venus']
51,@dourakuma,Experts believe Serena Williams will have a baby boy as women are from Venus.,Neutral,0.0,['serena williams', 'baby boy', 'venus']
52,@ConorFurlong,Experts believe Serena Williams will have a baby boy as women are from Venus.,Neutral,0.0,['serena williams', 'baby boy', 'venus']
53,@OnlyHally,Experts believe Serena Williams will have a baby boy as women are from Venus.,Neutral,0.0,['serena williams', 'baby boy', 'venus']
54,@liamwilson23,Experts believe Serena Williams will have a baby boy as women are from Venus.,Neutral,0.0,['serena williams', 'baby boy', 'venus']
55,@trustmyrage,Experts believe Serena Williams will have a baby boy as women are from Venus.,Neutral,0.0,['serena williams', 'baby boy', 'venus']
56,@TallismanRogue,Experts believe Serena Williams will have a baby boy as women are from Venus.,Neutral,0.0,['serena williams', 'baby boy', 'venus']
57,@El_Abdullah88,Experts believe Serena Williams will have a baby boy as women are from Venus.,Neutral,0.0,['serena williams', 'baby boy', 'venus']
58,@FeistyYogaGirl,Experts believe Serena Williams will have a baby boy as women are from Venus.,Neutral,0.0,['serena williams', 'baby boy', 'venus']
59,@sourav952,Experts believe Serena Williams will have a baby boy as women are from Venus.,Neutral,0.0,['serena williams', 'baby boy', 'venus']
60,@Superbun270,Experts believe Serena Williams will have a baby boy as women are from Venus.,Neutral,0.0,['serena williams', 'baby boy', 'venus']
61,@KittyTrill,Experts believe Serena Williams will have a baby boy as women are from Venus.,Neutral,0.0,['serena williams', 'baby boy', 'venus']
62,@brucemcconachie,Experts believe Serena Williams will have a baby boy as women are from Venus.,Neutral,0.0,['serena williams', 'baby boy', 'venus']
63,@chloeXnikole,Experts believe Serena Williams will have a baby boy as women are from Venus.,Neutral,0.0,['serena williams', 'baby boy', 'venus']
64,@taza2737,Experts believe Serena Williams will have a baby boy as women are from Venus.,Neutral,0.0,['serena williams', 'baby boy', 'venus']
65,@SeeDaneRun,Experts believe Serena Williams will have a baby boy as women are from Venus.,Neutral,0.0,['serena williams', 'baby boy', 'venus']
66,@UKEmploymentTax,Experts believe Serena Williams will have a baby boy as women are from Venus.,Neutral,0.0,['serena williams', 'baby boy', 'venus']
67,@geeksrgood,Experts believe Serena Williams will have a baby boy as women are from Venus.,Neutral,0.0,['serena williams', 'baby boy', 'venus']
68,@SWilliamsNews,Experts believe Serena Williams will have a baby boy as women are from Venus.,Neutral,0.0,['serena williams', 'baby boy', 'venus']
