index,author,tweet,label,polarity,nouns
1,@lady_moffat,Over a month on the run Elizabeth Thomas FOUND her alleged abductor arrested. Breaking details at 8pET w/,Negative,-0.1,['elizabeth thomas found', 'breaking', '8pet w/']
2,@iGlazeBeards,1500 tips received since March 13th disappearance of Elizabeth Thomas.,Neutral,0.0,['march', 'elizabeth thomas']
3,@asoldiersvoice,After arrest of Tenn. kidnapping suspect in Calif. sheriff says case "will plague the victim" for "years to come.",Negative,-0.0625,['tenn.', 'calif.']
4,@DanCas2,Over a month on the run Elizabeth Thomas FOUND her alleged abductor arrested. Breaking details at 8pET w/,Negative,-0.1,['elizabeth thomas found', 'breaking', '8pet w/']
5,@VanellyVampire,Federal charges have been filed against Cummins in kidnapping of Elizabeth Thomas. He'll face a minimum of 10 years in…,Neutral,0.0,['federal charges', 'cummins', 'elizabeth thomas', 'years in…']
6,@jk30252,Missing Tenn. student Elizabeth Thomas found former teacher Tad Cummins arrested in California - ABC News.,Negative,-0.1,['missing tenn.', 'elizabeth thomas', 'tad cummins', 'california', 'abc']
7,@VanellyVampire,Tad Cummins the TN teacher accused of adducting Elizabeth Thomas is facing state  federal charges.He was arrested in No…,Neutral,0.0,['tad cummins', 'tn', 'elizabeth thomas', 'federal charges.he', 'no…']
8,@jcacosta30,Missing Tennessee girl found teacher arrested after month-long search,Negative,-0.2,['missing tennessee', 'month-long search']
9,@love_all_thangs,Missing Tennessee girl found teacher arrested after month-long search,Negative,-0.2,['missing tennessee', 'month-long search']
10,@openn_world,Missing Tenn. student Elizabeth Thomas found former teacher Tad Cummins arrested in California…,Negative,-0.1,['missing tenn.', 'elizabeth thomas', 'tad cummins', 'california…']
11,@Kauairockchick,Now that Elizabeth Thomas has been found can the FBI find some time to look for the missing DC girls?,Negative,-0.2,['elizabeth thomas', 'dc']
12,@ArthurAnthony4,Abducted Tennessee teen Elizabeth Thomas has been found "healthy and unharmed" and her former teacher is in custody. ht…,Positive,0.16666666666666666,['abducted tennessee', 'elizabeth thomas']
13,@Lainnneyyy,Tad Cummins the TN teacher accused of adducting Elizabeth Thomas is facing state  federal charges.He was arrested in No…,Neutral,0.0,['tad cummins', 'tn', 'elizabeth thomas', 'federal charges.he', 'no…']
14,@jbcharnay,Tennessee Amber Alert over because tip led authorities to Tad Cummins Elizabeth Thomas in California |,Neutral,0.0,['tennessee amber alert', 'tad cummins elizabeth thomas', 'california']
15,@kimisanauthor37,I'm glad Elizabeth Thomas was found but can somebody give me an update about the ?,Positive,0.5,['elizabeth thomas']
16,@got6chix,TBI says the public played a crucial role in finding Elizabeth Thomas and Tad Cummins.,Neutral,0.0,['tbi', 'crucial role', 'elizabeth thomas', 'tad cummins']
17,@DarlingReina,TBI Director Mark Gwyn expressed gratitude for help from community law enforcement in search for Elizabeth Thomas. ht…,Neutral,0.0,['tbi', 'mark gwyn', 'community law enforcement', 'elizabeth thomas']
18,@kimisanauthor37,Seen more news coverage on Elizabeth Thomas (a white girl from TN) than I have on any of those young black girls who h…,Positive,0.10833333333333334,['seen', 'news coverage', 'elizabeth thomas', 'white girl', 'tn', 'young black girls']
19,@cabral_mena,After arrest of Tenn. kidnapping suspect in Calif. sheriff says case "will plague the victim" for "years to come.",Negative,-0.0625,['tenn.', 'calif.']
20,@DarlingReina,TBI FBI Agents and Maury Co deputies en route to California to bring Elizabeth Thomas home to Tennessee.,Neutral,0.0,['tbi', 'agents', 'maury co', 'california', 'elizabeth thomas', 'tennessee']
21,@NightBird1965g,Tennessee Amber Alert over: Tad Cummins Elizabeth Thomas found in California,Neutral,0.0,['tennessee amber alert', 'tad cummins elizabeth thomas', 'california']
22,@ZyiteGadgets,Missing Tenn. student Elizabeth Thomas found former teacher Tad Cummins arrested in California - ABC News,Negative,-0.1,['missing tenn.', 'elizabeth thomas', 'tad cummins', 'california', 'abc']
23,@darthur111,BREAKING: Amber Alert suspect Tad Cummins is under arrest  Elizabeth Thomas has been safely recovered in Northern Califor…,Positive,0.225,['breaking', 'amber alert', 'tad cummins', 'elizabeth thomas', 'califor…']
24,@kixxonlee,Thank goodness 🙏,Neutral,0.0,['thank', 'goodness 🙏']
25,@Singerboy8,BREAKING: Statement from Maury County Schools after Elizabeth Thomas found safe former teacher arrested:,Positive,0.25,['breaking', 'statement', 'maury', 'county schools', 'elizabeth thomas']
26,@Mother0fAllBomb,Tennessee Amber Alert over: Tad Cummins Elizabeth Thomas found in California,Neutral,0.0,['tennessee amber alert', 'tad cummins elizabeth thomas', 'california']
27,@Laurenk83,Over a month on the run Elizabeth Thomas FOUND her alleged abductor arrested. Breaking details at 8pET w/,Negative,-0.1,['elizabeth thomas found', 'breaking', '8pet w/']
28,@VanishedINC,Wonderful news! 15 year old Elizabeth Thomas has been found safe in Northern California.,Positive,0.5333333333333333,['wonderful', 'elizabeth thomas', 'california']
29,@capt_ball,After arrest of Tenn. kidnapping suspect in Calif. sheriff says case "will plague the victim" for "years to come.",Negative,-0.0625,['tenn.', 'calif.']
30,@picknrollallday,Now that Elizabeth Thomas has been found can the FBI find some time to look for the missing DC girls?,Negative,-0.2,['elizabeth thomas', 'dc']
31,@doodydoodsky,"Elizabeth Thomas". Hey Tad a big guy named Bubba is ready to welcome U in prison.,Positive,0.3333333333333333,['elizabeth thomas', 'hey tad', 'big guy', 'bubba']
32,@freethnker2,Abducted Tennessee teen Elizabeth Thomas has been found "healthy and unharmed" and her former teacher is in custody. ht…,Positive,0.16666666666666666,['abducted tennessee', 'elizabeth thomas']
33,@IAmKingDawayne,I'm glad Elizabeth Thomas was found but can somebody give me an update about the ?,Positive,0.5,['elizabeth thomas']
34,@RachelKrauth,BREAKING: AMBER Alert suspect Tad Cummins arrested Elizabeth Thomas found safe in California,Positive,0.5,['breaking', 'amber alert', 'tad cummins', 'elizabeth thomas', 'california']
35,@EducatedVillan,Seen more news coverage on Elizabeth Thomas (a white girl from TN) than I have on any of those young black girls who h…,Positive,0.10833333333333334,['seen', 'news coverage', 'elizabeth thomas', 'white girl', 'tn', 'young black girls']
36,@batsflywest,Missing Tennessee teen found in California ex-teacher accused in her kidnapping arrested authorities say.,Negative,-0.1,['missing tennessee', 'california']
37,@mariposa19ia,Abducted Tennessee teen Elizabeth Thomas has been found "healthy and unharmed" and her former teacher is in custody. ht…,Positive,0.16666666666666666,['abducted tennessee', 'elizabeth thomas']
38,@BKells8,Manhunt for Tennessee teacher his former student ends after they were found in California. reports.,Neutral,0.0,['manhunt', 'tennessee', 'student ends', 'california']
39,@olson_micki,BREAKING: Amber Alert suspect Tad Cummins is under arrest  Elizabeth Thomas has been safely recovered in Northern Califor…,Positive,0.225,['breaking', 'amber alert', 'tad cummins', 'elizabeth thomas', 'califor…']
40,@DylanYoung_15,Now that Elizabeth Thomas has been found can the FBI find some time to look for the missing DC girls?,Negative,-0.2,['elizabeth thomas', 'dc']
41,@IAmKingDawayne,Now that Elizabeth Thomas has been found can the FBI find some time to look for the missing DC girls?,Negative,-0.2,['elizabeth thomas', 'dc']
42,@RadioChio,After arrest of Tenn. kidnapping suspect in Calif. sheriff says case "will plague the victim" for "years to come.",Negative,-0.0625,['tenn.', 'calif.']
43,@TiaPANJ,Now that Elizabeth Thomas has been found can the FBI find some time to look for the missing DC girls?,Negative,-0.2,['elizabeth thomas', 'dc']
44,@rdeleon0360,Authorities say alleged kidnapper Tad Cummins and 15-year-old Elizabeth Thomas of Tennessee found in cabin in remote S…,Negative,-0.1,['authorities', 'tad cummins', 'elizabeth thomas', 'tennessee', 's…']
45,@HLNTV,Over a month on the run Elizabeth Thomas FOUND her alleged abductor arrested. Breaking details at 8pET w/,Negative,-0.1,['elizabeth thomas found', 'breaking', '8pet w/']
46,@nickey1969,Missing Tennessee teen found in California ex-teacher accused in her kidnapping arrested authorities say.,Negative,-0.1,['missing tennessee', 'california']
47,@dencamars,Missing Tennessee teen found in California ex-teacher accused in her kidnapping arrested authorities say.,Negative,-0.1,['missing tennessee', 'california']
48,@AdamsHokie,Praise God for her safe,Positive,0.5,['praise god']
49,@SkyArnold1,Hearing Elizabeth Thomas's family is still waiting to speak with her by phone. We expect a statement from them following that conversation.,Neutral,0.0,['hearing elizabeth thomas', "'s family"]
