index,author,tweet,label,polarity,nouns
1,@tylinamxo,18 years ago. Still remember that day like it was yesterday.,Neutral,0.0,[]
2,@usmcmom061010,Today we remember the innocent lives lost in tragedy. 18 years later we will never forget,Positive,0.25,['innocent lives']
3,@SmashedOreos,The only 420 I really remember was the Columbine massacre.....and that really ruined everyone's high. Bad day.,Negative,-0.02799999999999996,['columbine', 'massacre ... ..and']
4,@aleixsheath,Lauren Townsend a National Honor Society member was 18 when she was shot  killed at,Negative,-0.2,['lauren townsend', 'national honor society member']
5,@Taryn12Butler,We promised to never forget them. Always remember the lives that were lost on this day 18 years ago at High School.,Positive,0.16,['high school']
6,@aleixsheath,Kyle Velasquez was a "gentle giant". He was only 16 years old when he was shot  killed at,Positive,0.020000000000000007,['kyle velasquez']
7,@bauhausboi,The only 420 I really remember was the Columbine massacre.....and that really ruined everyone's high. Bad day.,Negative,-0.02799999999999996,['columbine', 'massacre ... ..and']
8,@weatie181,Today is the 18th Anniversary of the Columbine High School Shooting. Please,Positive,0.16,['columbine', 'high school', 'shooting', 'please']
9,@aleixsheath,Rachel Scott wasn't afraid to stand up for what she believed in. She was 17 when she was shot  killed at,Negative,-0.4,['rachel scott']
10,@bauhausboi,I'll never forget getting superrr high with hella people turning on the TV and watching Columbine coverage live on CNN.,Positive,0.1481818181818182,['superrr high', 'hella people turning', 'columbine', 'cnn']
11,@aleixsheath,Isaiah Shoels wanted to be a comedian. He was 18 when he was shot  killed at,Negative,-0.2,['isaiah shoels']
12,@kaay_ma_,18 years ago today we still remember the innocent lives tragically taken. RIP to all the victims of Columbine High School.…,Positive,0.33,['innocent lives', 'rip', 'columbine', 'school.…']
13,@aleixsheath,Today in 1999: The Columbine High School massacre.,Positive,0.16,['columbine', 'high school massacre']
14,@erianderson,We promised to never forget them. Always remember the lives that were lost on this day 18 years ago at High School.,Positive,0.16,['high school']
15,@Vieux_Freres_,1000 - Columbine,Neutral,0.0,['columbine']
16,@carwizrd,This is the only thing Coloradoans should think about on 4/20,Neutral,0.0,['coloradoans']
17,@AlyssaMcQuiston,We promised to never forget them. Always remember the lives that were lost on this day 18 years ago at High School.,Positive,0.16,['high school']
18,@Kay_a3,We promised to never forget them. Always remember the lives that were lost on this day 18 years ago at High School.,Positive,0.16,['high school']
19,@ShadowOftheBat,RIP to those lost in the massacre over eighteen years ago today.You all will always be remembered.,Neutral,0.0,['rip']
