index,author,tweet,label,polarity,nouns
1,@SeelyBrown3,He alone who owns the youth gains the future. Adolf Hitler Obama gave 22 billion dollars…,Neutral,0.0,['youth gains', 'adolf hitler obama']
2,@StoneColdChik,He alone who owns the youth gains the future. Adolf Hitler Obama gave 22 billion dollars…,Neutral,0.0,['youth gains', 'adolf hitler obama']
3,@Joey_Dionne,HAPPY BIRTHDAY ADOLF HITLER😋🎉🎉🎂,Positive,0.8,['happy birthday adolf hitler😋🎉🎉🎂']
4,@_micpi,Today is Adolf Hitler's bday,Neutral,0.0,['adolf hitler', "'s bday"]
5,@Alice16050204,He alone who owns the youth gains the future. Adolf Hitler Obama gave 22 billion dollars…,Neutral,0.0,['youth gains', 'adolf hitler obama']
6,@BauguessChris,He alone who owns the youth gains the future. Adolf Hitler Obama gave 22 billion dollars…,Neutral,0.0,['youth gains', 'adolf hitler obama']
7,@judith90293,He alone who owns the youth gains the future. Adolf Hitler Obama gave 22 billion dollars…,Neutral,0.0,['youth gains', 'adolf hitler obama']
8,@SSTotenKopf_,Adolf Hitler: 20 April 1889 - 30 April 1945. Artist philosopher statesman hero of the White race.,Neutral,0.0,['adolf hitler', 'april', 'april', 'artist philosopher statesman hero', 'white race']
9,@dibahna,"What good fortune for those in power that people do not think." - Adolf HitlerSelamat pagi twisderville 💃,Positive,0.7,['good fortune', 'adolf hitlerselamat', 'pagi twisderville 💃']
10,@ykhalim,The Allies conducted irresistible pincer movements on Adolf Hitler -  showed us how to destroy Crazy Donald Trump!,Negative,-0.475,['irresistible pincer movements', 'adolf hitler', 'crazy donald trump']
11,@vahvoom41,Happy 128th Birthday Adolf Hitler – Hero Of Our People,Positive,0.8,['birthday adolf hitler', 'hero']
12,@TondeuseTank,Today (20.04 JST) is the birthday of Adolf Hitler from Dragon Ball Z: Fukkatsu no Fusion! Let's celebrate~ 🎂,Neutral,0.0,['jst', 'adolf hitler', 'dragon ball z', 'fukkatsu', 'fusion', "'s celebrate~ 🎂"]
13,@deputyMahdi,Adolf Hitler murdered 10M Europeans King Leopold II murdered 15M Africans. We were only taught about one...,Neutral,0.0,['adolf hitler', 'europeans', 'leopold ii', 'africans']
14,@mannyquiroz831,whoever killed adolf hitler is my hero 🤤,Negative,-0.2,['adolf hitler', 'hero 🤤']
15,@TyroneWdindu,Everybody loves Adolf Hitler#OffendEveryoneIn4Words,Neutral,0.0,['adolf hitler', 'offendeveryonein4words']
16,@iimanrl,"once the racial struggle is won the aryan can achieve his biological and historic destiny: to smoke the ganja and get irie…,Neutral,0.0,['racial struggle', 'historic destiny']
17,@Harakkiiri,“...the personification of the devil as the symbol of all evil assumes the living shape of the Jew.” - Adolf Hitler Mei…,Negative,-1.0,['“ ...', 'evil assumes', 'jew.”', 'adolf hitler mei…']
18,@CarmineOmen,For Daffy Duck's 80th birthday here's him hitting Adolf Hitler on the head with a hammer.,Neutral,0.0,['daffy duck', "'s 80th birthday", 'adolf hitler']
19,@Pikplum,He alone who owns the youth gains the future. Adolf Hitler Obama gave 22 billion dollars…,Neutral,0.0,['youth gains', 'adolf hitler obama']
20,@misterstow,why are all the pot heads celebrating the birthday of Adolf Hitler??,Neutral,0.0,['pot heads', 'adolf hitler']
21,@shortman5427,He alone who owns the youth gains the future. Adolf Hitler Obama gave 22 billion dollars…,Neutral,0.0,['youth gains', 'adolf hitler obama']
22,@kozoukom,Happy Birthday Adolf Hitler! ⛽️✡️,Positive,1.0,['birthday adolf hitler']
23,@AlexBratu20,Okay I'm going to try and count how many times I heard:- hey your birthday is 4/20- lmao you share a birthday with Adolf Hitler...🙄🙄,Positive,0.5333333333333333,['okay', '4/20- lmao', 'adolf hitler', '... 🙄🙄']
24,@whybasem1820,Adolf Hitler: "Who Wanted the War?""In 1918 they declared a blessed and pious age to come!,Neutral,0.0,['adolf hitler', 'who wanted', 'pious age']
25,@richardgoodness,On April 20 1889 Adolf Hitler a man who would attempt to bring Germany back to greatness was born.,Neutral,0.0,['april', 'adolf hitler', 'germany']
26,@VirgilGuide,Adolf Hitler and Joey Lawrence were both born on 4/20. I rest my case.#Happy420,Neutral,0.0,['adolf hitler', 'joey lawrence', 'case. #', 'happy420']
27,@m_preston,Happy April 20th.1. Adolf Hitler's Birthday2. Chyna  Bram Stoker's Death Day3. Columbine Massacre4. Last victory of the red baron,Positive,0.26666666666666666,['april', 'adolf hitler', 'birthday2', 'chyna bram stoker', 'death day3', 'columbine massacre4', 'red baron']
28,@JenAnjuGrossman,To commemorate the anniversary of the birth of Adolf Hitler please join me tonight in doing absolutely nothing.,Positive,0.2,['adolf hitler']
29,@MonicaM_CPA,The great mass of the people will fall victim more easily to a big lie than to a small one. - Adolf Hitler,Positive,0.195,['great mass', 'fall victim', 'big lie', 'adolf hitler']
30,@SimonUmbra,"The petit bourgeois Social-Democrat and trade union boss will never make National Socialist but the Communist always will." Adolf Hitler,Neutral,0.0,['petit bourgeois', 'social-democrat', 'trade union boss', 'adolf hitler']
31,@gTrends_jp,* 420 Day * 4/20 * The Promise * Elizabeth Thomas * NFL schedule * Paris * Mia Khalifa * Hitler * Adolf Hitler *…,Neutral,0.0,['day *', 'promise', 'elizabeth thomas', 'nfl', 'schedule *', 'paris', 'mia khalifa', 'hitler', 'adolf hitler']
32,@neets4trump,Adolf Hitler: 20 April 1889 - 30 April 1945. Artist philosopher statesman hero of the White race.,Neutral,0.0,['adolf hitler', 'april', 'april', 'artist philosopher statesman hero', 'white race']
33,@ShitPosterBot,I licked Adolf Hitler because it fleeced Jim.,Neutral,0.0,['adolf hitler', 'jim']
34,@grimealcultist,the fact that you put in chicken nuggets and got depression and adolf hitler really makes me uhh i do…,Negative,-0.19999999999999998,['chicken nuggets', 'adolf hitler', 'uhh i do…']
35,@Discordweeb,Adolf Hitler: 20 April 1889 - 30 April 1945. Artist philosopher statesman hero of the White race.,Neutral,0.0,['adolf hitler', 'april', 'april', 'artist philosopher statesman hero', 'white race']
36,@ambrishgupta11,IN PIX | The banality of evil: 15 of the rarest photos of Nazi dictator Adolf Hitler,Negative,-1.0,['in pix', 'rarest photos', 'nazi', 'adolf hitler']
37,@hulajnoga_,April 20 1889- The most significant figure and the greatest leader of all time was born. Happy Birthday Adolf Hitler ht…,Positive,0.66875,['april', 'significant figure', 'happy birthday adolf hitler']
38,@msayers1,72yrs ago today Adolf Hitler marked his 56th birthday with a last visit above ground. The next  final 10 days of his l…,Positive,0.02,['adolf hitler', '56th birthday']
39,@fuckertaegan,happy birthday to my main man adolf hitler,Positive,0.48333333333333334,['happy birthday', 'main man adolf hitler']
40,@cerseiqueen,April 20th marks the birthday of Adolf Hitler Chancellor of Germany from 1933 to 1945 and Führer of Nazi Germany from 1934…,Neutral,0.0,['april', '20th marks', 'adolf hitler', 'germany', 'führer', 'nazi germany']
41,@JuanMoreno1414,Today is 4/20 😩👌🏻 that means exactly 127 years ago our LORD 😜and savior 💗 ADOLF HITLER 😁🙅🏻 was born 4️⃣2️⃣0️⃣ praise it 😇…,Positive,0.25,['lord', '😜and savior 💗', 'adolf hitler', '4️⃣2️⃣0️⃣ praise']
42,@Rem_baeJP,Today is 4/20 😩👌🏻 that means exactly 127 years ago our LORD 😜and savior 💗 ADOLF HITLER 😁🙅🏻 was born 4️⃣2️⃣0️⃣ praise it 😇…,Positive,0.25,['lord', '😜and savior 💗', 'adolf hitler', '4️⃣2️⃣0️⃣ praise']
43,@sixmillionlie,Adolf Hitler: 20 April 1889 - 30 April 1945. Artist philosopher statesman hero of the White race.,Neutral,0.0,['adolf hitler', 'april', 'april', 'artist philosopher statesman hero', 'white race']
44,@V01Vod,Adolf Hitler: 20 April 1889 - 30 April 1945. Artist philosopher statesman hero of the White race.,Neutral,0.0,['adolf hitler', 'april', 'april', 'artist philosopher statesman hero', 'white race']
45,@ComradeBoipussy,everyone knows that weed day is also hitler's birthday. but did you know that it's because adolf hitler was the inventor of…,Neutral,0.0,["hitler 's birthday", 'adolf hitler', 'inventor of…']
46,@AlecBalls3115,Almost forgot. Happy Birthday Gabu-chan. You share your birthday with adolf hitler and my grandma. You are blessed &lt3,Positive,0.8,['happy birthday gabu-chan', 'adolf hitler']
47,@MayaPosch,It's Adolf Hitler's 56th birthday Red Army now just 15 miles from Hitler in his bunker launch artillery bombardment on…,Neutral,0.0,['adolf hitler', "'s 56th birthday", 'red army', 'hitler', 'bunker launch artillery bombardment on…']
48,@Lomboses,Today is 4/20 😩👌🏻 that means exactly 127 years ago our LORD 😜and savior 💗 ADOLF HITLER 😁🙅🏻 was born 4️⃣2️⃣0️⃣ praise it 😇…,Positive,0.25,['lord', '😜and savior 💗', 'adolf hitler', '4️⃣2️⃣0️⃣ praise']
49,@Cody_Kiraly,And also happy birthday Adolf Hitler! Wouldn't let me tag you sorry bro,Positive,0.25,['happy birthday', 'adolf hitler', 'sorry bro']
50,@AlStephenson2,everyone knows that weed day is also hitler's birthday. but did you know that it's because adolf hitler was the inventor of…,Neutral,0.0,["hitler 's birthday", 'adolf hitler', 'inventor of…']
51,@AlStephenson2,"once the racial struggle is won the aryan can achieve his biological and historic destiny: to smoke the ganja and get irie…,Neutral,0.0,['racial struggle', 'historic destiny']
52,@uninstaIled,Today is 4/20 😩👌🏻 that means exactly 127 years ago our LORD 😜and savior 💗 ADOLF HITLER 😁🙅🏻 was born 4️⃣2️⃣0️⃣ praise it 😇🙌🏻,Positive,0.25,['lord', '😜and savior 💗', 'adolf hitler', '4️⃣2️⃣0️⃣ praise']
53,@GHofmar,20 April 1945 - Fuehrerbunker Adolf Hitler makes his last trip to the surface to award Iron Crosses to boy soldiers. htt…,Neutral,0.0,['april', 'fuehrerbunker adolf hitler', 'iron crosses', 'boy soldiers']
54,@Dishonored_Hero,Shoutout to my nigga Adolf Hitler it's his birthday today wish him happy birthday everyone!,Positive,1.0,['shoutout', 'adolf hitler', 'happy birthday']
55,@atmockingbird,April 20th marks the birthday of Adolf Hitler Chancellor of Germany from 1933 to 1945 and Führer of Nazi Germany from 1934…,Neutral,0.0,['april', '20th marks', 'adolf hitler', 'germany', 'führer', 'nazi germany']
56,@atmockingbird,Shoutout to my nigga Adolf Hitler it's his birthday today wish him happy birthday everyone!,Positive,1.0,['shoutout', 'adolf hitler', 'happy birthday']
57,@MadCapMunchkin,.@nickspencer LITERAL PUNCH IN THE FACE to Adolf Hitler during World War II. Instead he would rather rewrite histo…,Neutral,0.0,['@ nickspencer', 'literal punch in the face', 'adolf hitler', 'world war', 'ii', 'rewrite histo…']
58,@nickpeckham,for Adolf HitlerLike for Eric Harris  Dylan Klebold,Neutral,0.0,['adolf hitlerlike', 'eric harris dylan klebold']
59,@kount_rockula,yeah celebrates Hitler's B-day in style every year! LOVES getting baked thinking about his h…,Neutral,0.0,['hitler', 'b-day', 'loves']
60,@PsnCypryn,Super Bowl TD passes to a convicted murderer:Tom Brady: 1Adolf Hitler: 0Osama Bin Laden: 0All ISIS members combine…,Positive,0.3333333333333333,['td', 'tom brady', 'hitler', 'bin laden', 'isis', 'members combine…']
61,@traegin,Adolf Hitler was born 1889.,Neutral,0.0,['adolf hitler']
62,@SexyBabys2014,- 420 Day - 4/20 - The Promise - Elizabeth Thomas - NFL schedule - Paris - Mia Khalifa - Hitler - Adolf Hitler…,Neutral,0.0,['promise', 'elizabeth thomas', 'nfl', 'paris', 'mia khalifa', 'hitler', 'adolf hitler…']
63,@Frank_YellowDog,Today we celebrate 2 great men. Snoop Dogg and Adolf Hitler,Positive,0.8,['great men', 'snoop dogg', 'adolf hitler']
64,@nsfmchairman,Happy birthday Adolf Hitler. R.I.P our beloved leader.,Positive,0.75,['adolf hitler', 'r.i.p']
65,@BrionBaker,Adolf Hitler’s Struggle to Eliminate Degenerate Art and Uplift the European Soul: Zeiger…,Neutral,0.0,['adolf hitler’s struggle', 'eliminate degenerate art', 'uplift', 'soul', 'zeiger…']
66,@TruthJaguar1,April 20 1889- The most significant figure and the greatest leader of all time was born. Happy Birthday Adolf Hitler ht…,Positive,0.66875,['april', 'significant figure', 'happy birthday adolf hitler']
67,@_ALBORGHETTI,April 20 1889- The most significant figure and the greatest leader of all time was born. Happy Birthday Adolf Hitler ht…,Positive,0.66875,['april', 'significant figure', 'happy birthday adolf hitler']
68,@MacNoclasme,April 20 1889- The most significant figure and the greatest leader of all time was born. Happy Birthday Adolf Hitler ht…,Positive,0.66875,['april', 'significant figure', 'happy birthday adolf hitler']
69,@turkcoupplotter,everyone knows that weed day is also hitler's birthday. but did you know that it's because adolf hitler was the inventor of…,Neutral,0.0,["hitler 's birthday", 'adolf hitler', 'inventor of…']
70,@Kaylie_Autumn,Marijuana is a gateway drug invented by Adolf Hitler and if you smoke today you are celebrating his birthday.,Neutral,0.0,['marijuana', 'gateway drug', 'adolf hitler']
71,@XXXIIZII,April 20 1889- The most significant figure and the greatest leader of all time was born. Happy Birthday Adolf Hitler ht…,Positive,0.66875,['april', 'significant figure', 'happy birthday adolf hitler']
72,@Retr0_JVC,April 20 1889- The most significant figure and the greatest leader of all time was born. Happy Birthday Adolf Hitler ht…,Positive,0.66875,['april', 'significant figure', 'happy birthday adolf hitler']
73,@sahara__jewel,Shoutout to my nigga Adolf Hitler it's his birthday today wish him happy birthday everyone!,Positive,1.0,['shoutout', 'adolf hitler', 'happy birthday']
74,@jamie_udo,your birthday is the same as Adolf Hitler's coincidence? I think not.,Neutral,0.0,['adolf hitler', "'s coincidence"]
75,@brishonm1,Adolf Hitler murdered 10M Europeans King Leopold II murdered 15M Africans. We were only taught about one...,Neutral,0.0,['adolf hitler', 'europeans', 'leopold ii', 'africans']
76,@kjongdae_PTN,April 20 1889- The most significant figure and the greatest leader of all time was born. Happy Birthday Adolf Hitler ht…,Positive,0.66875,['april', 'significant figure', 'happy birthday adolf hitler']
77,@mangunjiwan,20 April 1945 - Fuehrerbunker Adolf Hitler makes his last trip to the surface to award Iron Crosses to boy soldiers. htt…,Neutral,0.0,['april', 'fuehrerbunker adolf hitler', 'iron crosses', 'boy soldiers']
78,@hazardseu,April 20th marks the birthday of Adolf Hitler Chancellor of Germany from 1933 to 1945 and Führer of Nazi Germany from 1934…,Neutral,0.0,['april', '20th marks', 'adolf hitler', 'germany', 'führer', 'nazi germany']
79,@The_Proud_Wolf,Adolf Hitler: 20 April 1889 - 30 April 1945. Artist philosopher statesman hero of the White race.,Neutral,0.0,['adolf hitler', 'april', 'april', 'artist philosopher statesman hero', 'white race']
80,@antagonist2017,Happy Birthday Adolf Hitler and hurray for Horst Mahler.,Positive,0.8,['birthday adolf hitler', 'horst mahler']
81,@ffllloooorrraa,72yrs ago today Adolf Hitler marked his 56th birthday with a last visit above ground. The next  final 10 days of his l…,Positive,0.02,['adolf hitler', '56th birthday']
82,@ykhalim,Treat Crazy Donald Trump – like you would treat Adolf Hitler!,Negative,-0.75,['treat crazy donald trump', 'adolf hitler']
83,@trendsmetadata,50K+ searches 4 Adolf Hitler 8h old,Positive,0.1,['50k+ searches', 'adolf hitler']
84,@regular_punter,"once the racial struggle is won the aryan can achieve his biological and historic destiny: to smoke the ganja and get irie…,Neutral,0.0,['racial struggle', 'historic destiny']
85,@JephthahEmeh,On this day in 1889 Adolf Hitler was born.,Neutral,0.0,['adolf hitler']
86,@meme_supreme1,for Adolf HitlerLike for Eric Harris  Dylan Klebold,Neutral,0.0,['adolf hitlerlike', 'eric harris dylan klebold']
87,@Shober_14,Super Bowl TD passes to a convicted murderer:Tom Brady: 1Adolf Hitler: 0Osama Bin Laden: 0All ISIS members combine…,Positive,0.3333333333333333,['td', 'tom brady', 'hitler', 'bin laden', 'isis', 'members combine…']
88,@Bluevelocity1,Adolf Hitler's 128th Birthday via Happy Birthday Mein Fuhrer!,Positive,1.0,['adolf hitler', "'s 128th", 'birthday', 'happy birthday mein fuhrer']
89,@ScrubLord15,So may say 420 cause weed but today I just want to say happy bday to the man the myth the legend Adolf Hitler,Positive,0.8,['happy bday', 'adolf hitler']
90,@Stocovazk0,Waffen-SS. Documentario. via ADOLF HITLER..............!,Neutral,0.0,['waffen-ss', 'documentario', 'adolf hitler', '... ... ... ... ..']
91,@ichbin6gott,April 20th marks the birthday of Adolf Hitler Chancellor of Germany from 1933 to 1945 and Führer of Nazi Germany from 1934…,Neutral,0.0,['april', '20th marks', 'adolf hitler', 'germany', 'führer', 'nazi germany']
92,@D2_57TACSite,Happy 128th Birthday Adolf Hitler – Hero Of Our People,Positive,0.8,['birthday adolf hitler', 'hero']
93,@pcincorect17,"Happy 420" Happy Birthday to the Greatest Son of our Race Adolf Hitler.You are not dead! Your spirit lives inside us! ht…,Positive,0.6890625,['happy', 'happy birthday', 'greatest', 'adolf hitler.you', 'your']
94,@rebbundy,April 20th marks the birthday of Adolf Hitler Chancellor of Germany from 1933 to 1945 and Führer of Nazi Germany from 1934…,Neutral,0.0,['april', '20th marks', 'adolf hitler', 'germany', 'führer', 'nazi germany']
95,@jstephendaly,72yrs ago today Adolf Hitler marked his 56th birthday with a last visit above ground. The next  final 10 days of his l…,Positive,0.02,['adolf hitler', '56th birthday']
96,@SirENRICK,Happy Birthday!!! Adolf Hitler!!!,Positive,1.0,['birthday', 'adolf hitler']
97,@MarthaMattis,Happy 128th Birthday Adolf Hitler – Hero Of Our People,Positive,0.8,['birthday adolf hitler', 'hero']
98,@GModo61,The Ost-West-Achse in Berlin site of a massive rally and parade in celebration of Adolf Hitler's 50th birthday April 20…,Negative,-0.125,['ost-west-achse', 'berlin', 'massive rally', 'adolf hitler', 'april']
99,@TruthJaguar1,Happy 128th Birthday Adolf Hitler – Hero Of Our People,Positive,0.8,['birthday adolf hitler', 'hero']
100,@HipaLunatic,Shoutout to my nigga Adolf Hitler it's his birthday today wish him happy birthday everyone!,Positive,1.0,['shoutout', 'adolf hitler', 'happy birthday']
