index,author,tweet,label,polarity,nouns
1,@FilmEssaying,Venus Williams on Ava DuVernay.,Neutral,0.0,['venus williams', 'ava duvernay']
50,@DanGoodliffe,Experts believe Serena Williams will have a baby boy as women are from Venus.,Neutral,0.0,['serena williams', 'baby boy', 'venus']
51,@t_hare_is,Experts believe Serena Williams will have a baby boy as women are from Venus.,Neutral,0.0,['serena williams', 'baby boy', 'venus']
52,@FARMULOUS,Experts believe Serena Williams will have a baby boy as women are from Venus.,Neutral,0.0,['serena williams', 'baby boy', 'venus']
53,@DumbMoreReady,Experts believe Serena Williams will have a baby boy as women are from Venus.,Neutral,0.0,['serena williams', 'baby boy', 'venus']
54,@kimplicit,Experts believe Serena Williams will have a baby boy as women are from Venus.,Neutral,0.0,['serena williams', 'baby boy', 'venus']
55,@SazzerCash,Experts believe Serena Williams will have a baby boy as women are from Venus.,Neutral,0.0,['serena williams', 'baby boy', 'venus']
56,@Deeler16,Experts believe Serena Williams will have a baby boy as women are from Venus.,Neutral,0.0,['serena williams', 'baby boy', 'venus']
57,@posley88,Experts believe Serena Williams will have a baby boy as women are from Venus.,Neutral,0.0,['serena williams', 'baby boy', 'venus']
58,@_ObiMoo,Experts believe Serena Williams will have a baby boy as women are from Venus.,Neutral,0.0,['serena williams', 'baby boy', 'venus']
59,@ahshaik5,Experts believe Serena Williams will have a baby boy as women are from Venus.,Neutral,0.0,['serena williams', 'baby boy', 'venus']
60,@StefMcDef,Experts believe Serena Williams will have a baby boy as women are from Venus.,Neutral,0.0,['serena williams', 'baby boy', 'venus']
61,@jamespowell363,Experts believe Serena Williams will have a baby boy as women are from Venus.,Neutral,0.0,['serena williams', 'baby boy', 'venus']
62,@redsaintuk,Experts believe Serena Williams will have a baby boy as women are from Venus.,Neutral,0.0,['serena williams', 'baby boy', 'venus']
63,@lu1820,Experts believe Serena Williams will have a baby boy as women are from Venus.,Neutral,0.0,['serena williams', 'baby boy', 'venus']
64,@dourakuma,Experts believe Serena Williams will have a baby boy as women are from Venus.,Neutral,0.0,['serena williams', 'baby boy', 'venus']
65,@ConorFurlong,Experts believe Serena Williams will have a baby boy as women are from Venus.,Neutral,0.0,['serena williams', 'baby boy', 'venus']
66,@OnlyHally,Experts believe Serena Williams will have a baby boy as women are from Venus.,Neutral,0.0,['serena williams', 'baby boy', 'venus']
67,@liamwilson23,Experts believe Serena Williams will have a baby boy as women are from Venus.,Neutral,0.0,['serena williams', 'baby boy', 'venus']
68,@trustmyrage,Experts believe Serena Williams will have a baby boy as women are from Venus.,Neutral,0.0,['serena williams', 'baby boy', 'venus']
69,@TallismanRogue,Experts believe Serena Williams will have a baby boy as women are from Venus.,Neutral,0.0,['serena williams', 'baby boy', 'venus']
70,@El_Abdullah88,Experts believe Serena Williams will have a baby boy as women are from Venus.,Neutral,0.0,['serena williams', 'baby boy', 'venus']
71,@FeistyYogaGirl,Experts believe Serena Williams will have a baby boy as women are from Venus.,Neutral,0.0,['serena williams', 'baby boy', 'venus']
72,@sourav952,Experts believe Serena Williams will have a baby boy as women are from Venus.,Neutral,0.0,['serena williams', 'baby boy', 'venus']
73,@Superbun270,Experts believe Serena Williams will have a baby boy as women are from Venus.,Neutral,0.0,['serena williams', 'baby boy', 'venus']
74,@KittyTrill,Experts believe Serena Williams will have a baby boy as women are from Venus.,Neutral,0.0,['serena williams', 'baby boy', 'venus']
75,@brucemcconachie,Experts believe Serena Williams will have a baby boy as women are from Venus.,Neutral,0.0,['serena williams', 'baby boy', 'venus']
76,@chloeXnikole,Experts believe Serena Williams will have a baby boy as women are from Venus.,Neutral,0.0,['serena williams', 'baby boy', 'venus']
77,@taza2737,Experts believe Serena Williams will have a baby boy as women are from Venus.,Neutral,0.0,['serena williams', 'baby boy', 'venus']
78,@SeeDaneRun,Experts believe Serena Williams will have a baby boy as women are from Venus.,Neutral,0.0,['serena williams', 'baby boy', 'venus']
79,@UKEmploymentTax,Experts believe Serena Williams will have a baby boy as women are from Venus.,Neutral,0.0,['serena williams', 'baby boy', 'venus']
80,@geeksrgood,Experts believe Serena Williams will have a baby boy as women are from Venus.,Neutral,0.0,['serena williams', 'baby boy', 'venus']
81,@SWilliamsNews,Experts believe Serena Williams will have a baby boy as women are from Venus.,Neutral,0.0,['serena williams', 'baby boy', 'venus']
82,@sallywillihunt,Experts believe Serena Williams will have a baby boy as women are from Venus.,Neutral,0.0,['serena williams', 'baby boy', 'venus']
83,@This_Blonde_Gal,Experts believe Serena Williams will have a baby boy as women are from Venus.,Neutral,0.0,['serena williams', 'baby boy', 'venus']
84,@ElikesTrees,Experts believe Serena Williams will have a baby boy as women are from Venus.,Neutral,0.0,['serena williams', 'baby boy', 'venus']
85,@lukesurl,Experts believe Serena Williams will have a baby boy as women are from Venus.,Neutral,0.0,['serena williams', 'baby boy', 'venus']
86,@TAndrewCampbell,Experts believe Serena Williams will have a baby boy as women are from Venus.,Neutral,0.0,['serena williams', 'baby boy', 'venus']
87,@zeparker,Experts believe Serena Williams will have a baby boy as women are from Venus.,Neutral,0.0,['serena williams', 'baby boy', 'venus']
88,@sam_parish,Experts believe Serena Williams will have a baby boy as women are from Venus.,Neutral,0.0,['serena williams', 'baby boy', 'venus']
89,@olderthanthou,Experts believe Serena Williams will have a baby boy as women are from Venus.,Neutral,0.0,['serena williams', 'baby boy', 'venus']
90,@CorinneDinDin,Experts believe Serena Williams will have a baby boy as women are from Venus.,Neutral,0.0,['serena williams', 'baby boy', 'venus']
91,@LiamInDevon,Experts believe Serena Williams will have a baby boy as women are from Venus.,Neutral,0.0,['serena williams', 'baby boy', 'venus']
92,@Disney_OnWheels,Experts believe Serena Williams will have a baby boy as women are from Venus.,Neutral,0.0,['serena williams', 'baby boy', 'venus']
93,@anidiotspeaks,Experts believe Serena Williams will have a baby boy as women are from Venus.,Neutral,0.0,['serena williams', 'baby boy', 'venus']
94,@glasgow_hill,Experts believe Serena Williams will have a baby boy as women are from Venus.,Neutral,0.0,['serena williams', 'baby boy', 'venus']
95,@brendamaiy,Serena and Venus Williams return to BNP Paribas Open,Neutral,0.0,['serena', 'venus williams', 'bnp paribas']
96,@klubber_lang,Experts believe Serena Williams will have a baby boy as women are from Venus.,Neutral,0.0,['serena williams', 'baby boy', 'venus']
97,@somersetchris,Experts believe Serena Williams will have a baby boy as women are from Venus.,Neutral,0.0,['serena williams', 'baby boy', 'venus']
98,@Lil_Yakira,Experts believe Serena Williams will have a baby boy as women are from Venus.,Neutral,0.0,['serena williams', 'baby boy', 'venus']
99,@rmrt688,Experts believe Serena Williams will have a baby boy as women are from Venus.,Neutral,0.0,['serena williams', 'baby boy', 'venus']
100,@borderlinehoee,Experts believe Serena Williams will have a baby boy as women are from Venus.,Neutral,0.0,['serena williams', 'baby boy', 'venus']
