index,author,tweet,label,polarity,nouns
1,@JamesConoway,FREE FIRE is out tonight.,Positive,0.4,['free fire']
2,@KayDMusiQ,INTERVIEW: Talks Free Fire Looks Forward to Captain Marvel,Positive,0.4,['interview', 'talks free', 'looks forward', 'marvel']
3,@TheRealDeviant,Accidental movie star Sharlto Copley on his gonzo career and keeping things surreal in 'Free Fire'…,Positive,0.325,['accidental', 'movie star', 'sharlto copley', 'gonzo career', 'things surreal', "fire'…"]
4,@FOXCinemas,could lap competitors again at the box office this weekend.,Neutral,0.0,['lap competitors', 'box office']
5,@latimesmovies,Accidental movie star Sharlto Copley on his gonzo career and keeping things surreal in 'Free Fire',Positive,0.325,['accidental', 'movie star', 'sharlto copley', 'gonzo career', 'things surreal', "'free fire"]
6,@TheDialogWilm,‘Free Fire’ would be better with pies instead of bullets,Positive,0.45,['fire’']
7,@HotChkNewsTweet,Accidental movie star Sharlto Copley on his gonzo career and keeping things surreal in 'Free Fire' (LA Times),Positive,0.325,['accidental', 'movie star', 'sharlto copley', 'gonzo career', 'things surreal', "'free fire", 'la']
8,@cinemaofdreams,With his new film FREE FIRE now in theaters director Ben Wheatley stopped by today for a trip inside our films closet!,Positive,0.3181818181818182,['new film', 'free fire', 'theaters director', 'ben wheatley', 'films closet']
9,@RadioXND,could lap competitors again at the box office this weekend.,Neutral,0.0,['lap competitors', 'box office']
10,@SmugLatte,If anyone has Fire Emblem Heroes feel free to send a friend request. I need more friends :I,Positive,0.45,['emblem heroes', 'friend request']
11,@AziHeron,Looking forward to tonight's showing of Ben Wheatley's "Free Fire." Super excited! :-),Positive,0.42552083333333335,['looking', 'ben wheatley', 'free']
12,@WilliamMungall,Accidental movie star Sharlto Copley on his gonzo career and keeping things surreal in 'Free Fire',Positive,0.325,['accidental', 'movie star', 'sharlto copley', 'gonzo career', 'things surreal', "'free fire"]
13,@iKsNRUR9wQCZdem,of leons sex is on fire nubile-teen-free,Neutral,0.0,['leons sex', 'fire nubile-teen-free']
14,@Free4Dcom,: [Free Download] Guitar On Fire (3D Object) (Full Package) -,Neutral,0.0,['free download', 'guitar', 'object', 'package']
15,@mxdwn,(REVIEW),Neutral,0.0,['review']
16,@mysamples,Hop over to the link to request a complimentary Copy of Hearts of Fire for,Positive,0.3,['hop', 'copy', 'hearts']
17,@EW,could lap competitors again at the box office this weekend.,Neutral,0.0,['lap competitors', 'box office']
18,@goARMIE_roddeng,The cast of Free Fire spent its time crawling in the dirt and goofing off on set,Positive,0.15000000000000002,['free']
19,@eagleliteinc,FREE Assemble and Test Fire on all Carbine/Pistol kit orders -ends tonight at midnight pst. #ar15,Positive,0.4,['free assemble', 'test', 'carbine/pistol', 'kit orders -ends', 'midnight pst', '# ar15']
20,@austin360,Movie review: Intricate hyperviolent ‘Free Fire’ makes bloodshed fun again,Positive,0.35,['movie', 'intricate', 'hyperviolent ‘free', 'fire’']
21,@KeyNoticias,Accidental movie star Sharlto Copley on his gonzo career and keeping things surreal in 'Free Fire'…,Positive,0.325,['accidental', 'movie star', 'sharlto copley', 'gonzo career', 'things surreal', "fire'…"]
22,@venyenteratehoy,Accidental movie star Sharlto Copley on his gonzo career and keeping things surreal in 'Free Fire'…,Positive,0.325,['accidental', 'movie star', 'sharlto copley', 'gonzo career', 'things surreal', "fire'…"]
23,@TDailyNews4,Accidental movie star Sharlto Copley on his gonzo career and keeping things surreal in 'Free Fire'…,Positive,0.325,['accidental', 'movie star', 'sharlto copley', 'gonzo career', 'things surreal', "fire'…"]
24,@AndreaParking69,Accidental movie star Sharlto Copley on his gonzo career and keeping things surreal in 'Free Fire'…,Positive,0.325,['accidental', 'movie star', 'sharlto copley', 'gonzo career', 'things surreal', "fire'…"]
25,@LosAngelesBests,Accidental movie star Sharlto Copley on his gonzo career and keeping things surreal in 'Free Fire': In the Martin……,Positive,0.325,['accidental', 'movie star', 'sharlto copley', 'gonzo career', 'things surreal', "'free fire", 'martin……']
26,@7wwerocks,Seeing Free Fire which stars my future wife,Positive,0.2,['seeing free', 'future wife']
27,@papercruiser,New model: South Haven Fire Engine,Positive,0.13636363636363635,['new model', 'haven', 'engine']
28,@chrbis,If you love someone why set them free when you can set them on fire?,Positive,0.45,[]
29,@ChrisThilk,ICYMI I wrote about the fun campaign for which proves Brie Larson should get more comedic roles:…,Positive,0.3666666666666667,['icymi', 'fun campaign', 'brie larson', 'comedic roles']
30,@TheBasedSnail,Free fire looks so awesome,Positive,0.7,['free']
31,@_FREEDOWNLOAD,(Psychedelic Progressive Tribal) [WEB] Secret Vibes - Secret Fire (2017) FLAC (tracks) lossless,Negative,-0.4,['psychedelic progressive tribal', 'web', 'vibes', 'secret fire', 'flac']
32,@gsichler,That Free Fire movie looks dope.,Positive,0.4,['free', 'fire movie']
33,@RCNAmerica,Brie Larson Attends Premiere Of A24's 'Free Fire'...,Positive,0.4,['brie larson attends premiere', 'a24', "'s 'free fire"]
34,@RCNCelebrity,Attends Premiere Of A24's 'Free Fire',Positive,0.4,['attends premiere', 'a24', "'s 'free fire"]
35,@emily_dawn,Any of my family going to FREE FIRE tonight? 🔥,Positive,0.4,['free fire']
36,@LPMConstable,Free Fire 🤘🤘,Positive,0.4,['free', 'fire 🤘🤘']
37,@muzikyle,The rest of Marvel film. Free Fire Alien Covenant,Positive,0.07500000000000001,['marvel', 'free', 'alien covenant']
38,@metmetmety1,The cast of Free Fire spent its time crawling in the dirt and goofing off on set,Positive,0.15000000000000002,['free']
39,@RCNCelebrity,RCN America Tennessee: Brie Larson Attends Premiere Of A24's 'Free Fire',Positive,0.4,['rcn america tennessee', 'brie larson attends premiere', 'a24', "'s 'free fire"]
40,@LPMConstable,There should always be time for Free Fire! 👍,Positive,0.5,['free']
41,@MOVIEFAN993,Great Free Fire review. Just curious what problems did you have with the film that resulted in you taking off 2 points from /10?,Positive,0.3666666666666667,['free', 'fire review']
42,@RCNCelebrity,RCN America DC: Brie Larson Attends Premiere Of A24's 'Free Fire',Positive,0.4,['rcn america dc', 'brie larson attends premiere', 'a24', "'s 'free fire"]
43,@readerbookdeals,We showcase the highest rated eBooks on Kindle! Oh and you could win a Kindle Fire!…,Positive,0.8,['kindle', 'oh', 'kindle']
44,@RCNCelebrity,RCN America NY: Brie Larson Attends Premiere Of A24's 'Free Fire',Positive,0.4,['rcn america ny', 'brie larson attends premiere', 'a24', "'s 'free fire"]
45,@SpacemanTheJinn,The rest of Marvel film. Free Fire Alien Covenant,Positive,0.07500000000000001,['marvel', 'free', 'alien covenant']
46,@RCNCelebrity,RCN America CTRI: Brie Larson Attends Premiere Of A24's 'Free Fire',Positive,0.4,['rcn america ctri', 'brie larson attends premiere', 'a24', "'s 'free fire"]
47,@Mix977,Big Guns And Tons Of Fun In "Free Fire",Positive,0.2333333333333333,['guns', 'tons', 'fun', 'free']
48,@LPMConstable,Free Fire weekend! 👍,Positive,0.5,['free', 'fire weekend']
49,@RCNCelebrity,RCN America MA: Brie Larson Attends Premiere Of A24's 'Free Fire',Positive,0.4,['rcn america ma', 'brie larson attends premiere', 'a24', "'s 'free fire"]
50,@RockyCoastMedia,Brie Larson Attends Premiere Of A24's 'Free Fire',Positive,0.4,['brie larson attends premiere', 'a24', "'s 'free fire"]
51,@RCNCelebrity,Rocky Coast News NHVT: Brie Larson Attends Premiere Of A24's 'Free Fire',Positive,0.4,['rocky', 'coast news', 'nhvt', 'brie larson attends premiere', 'a24', "'s 'free fire"]
