index,author,tweet,label,polarity,nouns
1,@em2wice,In ‘The Immortal Life of Henrietta Lacks’ science gives way to an emotional process,Neutral,0.0,['immortal', 'henrietta lacks’', 'emotional process']
2,@massmiracles,Oprah Winfrey stars in a movie-length treatment of the complex tale of Henrietta Lacks.,Negative,-0.3,['oprah winfrey', 'movie-length treatment', 'complex tale', 'henrietta lacks']
3,@Amycrocker76Amy,The NYT review of HBO's "The Immortal Life of Henrietta Lacks" starring Oprah Winfrey,Neutral,0.0,['nyt', 'hbo', 'immortal', 'henrietta lacks', 'oprah winfrey']
4,@nancytara6,The NYT review of HBO's "The Immortal Life of Henrietta Lacks" starring Oprah Winfrey,Neutral,0.0,['nyt', 'hbo', 'immortal', 'henrietta lacks', 'oprah winfrey']
5,@heavehoorg,Review: Oprah Goes Deep in Henrietta Lacks,Neutral,0.0,['review', 'oprah goes deep', 'henrietta lacks']
6,@vcwelch,The NYT review of HBO's "The Immortal Life of Henrietta Lacks" starring Oprah Winfrey,Neutral,0.0,['nyt', 'hbo', 'immortal', 'henrietta lacks', 'oprah winfrey']
7,@HerYin,Go ahead and give this a read 🙂 BGN Movie Review: The Immortal Life of Henrietta,Neutral,0.0,['bgn movie review', 'immortal', 'henrietta']
8,@healthledgers,The Immortal Life of Henrietta Lacks,Neutral,0.0,['immortal', 'henrietta lacks']
9,@biteszHQpop,Review: Oprah Goes Deep in Henrietta Lacks - Oprah Winfrey is so culturally omnipresent that it’s easy to forge...,Positive,0.17777777777777778,['review', 'oprah goes deep', 'henrietta lacks', 'oprah winfrey', 'forge ...']
10,@glamngloom_e,The NYT review of HBO's "The Immortal Life of Henrietta Lacks" starring Oprah Winfrey,Neutral,0.0,['nyt', 'hbo', 'immortal', 'henrietta lacks', 'oprah winfrey']
11,@Real_Infinity95,Review: Oprah goes deep in 'Henrietta Lacks',Neutral,0.0,['review', 'oprah', 'lacks']
12,@webgirl644,The NYT review of HBO's "The Immortal Life of Henrietta Lacks" starring Oprah Winfrey,Neutral,0.0,['nyt', 'hbo', 'immortal', 'henrietta lacks', 'oprah winfrey']
13,@wfray552,The NYT review of HBO's "The Immortal Life of Henrietta Lacks" starring Oprah Winfrey,Neutral,0.0,['nyt', 'hbo', 'immortal', 'henrietta lacks', 'oprah winfrey']
14,@faiz_shireef,The NYT review of HBO's "The Immortal Life of Henrietta Lacks" starring Oprah Winfrey,Neutral,0.0,['nyt', 'hbo', 'immortal', 'henrietta lacks', 'oprah winfrey']
15,@_hairstyle_,&gt 10: The Immortal Life of Henrietta Lacks,Neutral,0.0,['immortal', 'henrietta lacks']
16,@Victorias_Art,Who Was Henrietta Lacks? 5 Striking Facts About The ‘Mother Of Modern Medicine’ via,Positive,0.35,['who was henrietta lacks', 'striking facts', 'medicine’']
17,@Alleneida,The NYT review of HBO's "The Immortal Life of Henrietta Lacks" starring Oprah Winfrey,Neutral,0.0,['nyt', 'hbo', 'immortal', 'henrietta lacks', 'oprah winfrey']
18,@ike_fit_,.@Oprah wants the world to know Henrietta Lacks is a hidden figure no more,Negative,-0.07222222222222222,['oprah', 'henrietta lacks']
19,@normanknights,Review: Oprah goes deep in 'Henrietta Lacks',Neutral,0.0,['review', 'oprah', 'lacks']
20,@SamuelIgor,The NYT review of HBO's "The Immortal Life of Henrietta Lacks" starring Oprah Winfrey,Neutral,0.0,['nyt', 'hbo', 'immortal', 'henrietta lacks', 'oprah winfrey']
21,@Flyygirl1968,7 Things To Know About Henrietta Lacks,Neutral,0.0,['know', 'henrietta lacks']
22,@AGFlemingpsych,The NYT review of HBO's "The Immortal Life of Henrietta Lacks" starring Oprah Winfrey,Neutral,0.0,['nyt', 'hbo', 'immortal', 'henrietta lacks', 'oprah winfrey']
23,@Blackgermans,A Magical Experience With Oprah Winfrey and the Cast of HBO’s ‘The Immortal Life of Henrietta Lacks’,Positive,0.5,['magical experience', 'oprah winfrey', 'cast', 'hbo’s', 'immortal', 'henrietta lacks’']
24,@jfmusy,"The NYT review of HBO's "The Immortal Life of Henrietta Lacks" starring Oprah Winfrey,Neutral,0.0,['nyt', 'hbo', 'immortal', 'henrietta lacks', 'oprah winfrey']
25,@keelee231,Review: Oprah goes deep in 'Henrietta Lacks',Neutral,0.0,['review', 'oprah', 'lacks']
26,@rchllwlsn,The NYT review of HBO's "The Immortal Life of Henrietta Lacks" starring Oprah Winfrey,Neutral,0.0,['nyt', 'hbo', 'immortal', 'henrietta lacks', 'oprah winfrey']
27,@twitte_r1000,The NYT review of HBO's "The Immortal Life of Henrietta Lacks" starring Oprah Winfrey,Neutral,0.0,['nyt', 'hbo', 'immortal', 'henrietta lacks', 'oprah winfrey']
28,@josheppa,The NYT review of HBO's "The Immortal Life of Henrietta Lacks" starring Oprah Winfrey,Neutral,0.0,['nyt', 'hbo', 'immortal', 'henrietta lacks', 'oprah winfrey']
29,@KarenZahaluk,Who Was Henrietta Lacks? 5 Striking Facts About The ‘Mother Of Modern Medicine’ via,Positive,0.35,['who was henrietta lacks', 'striking facts', 'medicine’']
30,@KK_Pockets,The NYT review of HBO's "The Immortal Life of Henrietta Lacks" starring Oprah Winfrey,Neutral,0.0,['nyt', 'hbo', 'immortal', 'henrietta lacks', 'oprah winfrey']
31,@zanaines,Who Was Henrietta Lacks? 5 Striking Facts About The ‘Mother Of Modern Medicine’ via,Positive,0.35,['who was henrietta lacks', 'striking facts', 'medicine’']
32,@rdoriswatson,Review: Oprah goes deep in 'Henrietta Lacks',Neutral,0.0,['review', 'oprah', 'lacks']
33,@DrImmySmith,Who Was Henrietta Lacks? 5 Striking Facts About The ‘Mother Of Modern Medicine’ via,Positive,0.35,['who was henrietta lacks', 'striking facts', 'medicine’']
34,@SusanS96965737,The NYT review of HBO's "The Immortal Life of Henrietta Lacks" starring Oprah Winfrey,Neutral,0.0,['nyt', 'hbo', 'immortal', 'henrietta lacks', 'oprah winfrey']
35,@marsam22reed,.@Oprah wants the world to know Henrietta Lacks is a hidden figure no more,Negative,-0.07222222222222222,['oprah', 'henrietta lacks']
36,@heyitsgowri,The NYT review of HBO's "The Immortal Life of Henrietta Lacks" starring Oprah Winfrey,Neutral,0.0,['nyt', 'hbo', 'immortal', 'henrietta lacks', 'oprah winfrey']
37,@elgray,Hulu's best original so far is part of a boom in TV for bookworms like me,Positive,0.4916666666666667,['hulu']
38,@cabioinformatic,The NYT review of HBO's "The Immortal Life of Henrietta Lacks" starring Oprah Winfrey,Neutral,0.0,['nyt', 'hbo', 'immortal', 'henrietta lacks', 'oprah winfrey']
39,@EllenDatlow,The NYT review of HBO's "The Immortal Life of Henrietta Lacks" starring Oprah Winfrey,Neutral,0.0,['nyt', 'hbo', 'immortal', 'henrietta lacks', 'oprah winfrey']
40,@lmsstrauss,The NYT review of HBO's "The Immortal Life of Henrietta Lacks" starring Oprah Winfrey,Neutral,0.0,['nyt', 'hbo', 'immortal', 'henrietta lacks', 'oprah winfrey']
41,@TheDotP,Go ahead and give this a read 🙂 BGN Movie Review: The Immortal Life of Henrietta,Neutral,0.0,['bgn movie review', 'immortal', 'henrietta']
42,@bdnews24,nytimes: The NYT review of HBO's "The Immortal Life of Henrietta Lacks" starring Oprah Winfrey …,Neutral,0.0,['nyt', 'hbo', 'immortal', 'henrietta lacks', 'oprah winfrey']
43,@bhonest52,The NYT review of HBO's "The Immortal Life of Henrietta Lacks" starring Oprah Winfrey,Neutral,0.0,['nyt', 'hbo', 'immortal', 'henrietta lacks', 'oprah winfrey']
