index,author,tweet,label,polarity,nouns
1,@FactKINGFacts,Popular on Google: * Prince * Pittsburgh Penguins * Born in China * Ledell Lee * France * Eagles Schedule 2017 * Paul George * The Beguiled…,Positive,0.6,['popular', 'google', '* prince *', 'pittsburgh penguins', 'born', 'china', 'ledell lee', 'france', 'schedule', 'paul george', 'beguiled…']
2,@DiegoArana,THE BEGUILED - Official Trailer [HD] - In Theaters June 23,Neutral,0.0,['the beguiled', 'trailer', 'hd', 'theaters june']
3,@brief_case_pro,THE BEGUILED Trailer 2017 Colin,Neutral,0.0,['the beguiled trailer', 'colin']
4,@Nouis_Jerrie_HP,Colin Farrell Nicole Kidman and more star in new Southern Gothic drama – check out the new trailer…,Positive,0.19318181818181818,['colin farrell nicole kidman', 'gothic', 'drama – check', 'new trailer…']
5,@Southern_Mommas,The Beguiled by Sofia Coppola Comes to Big Screen June 23rd. It will leave us breathless.,Neutral,0.0,['beguiled', 'sofia coppola comes', 'screen june']
6,@twodayrental,The Beguiled remake looks completely unnecessary. I’ll stick with the weird original,Negative,-0.17500000000000002,['beguiled', 'i’ll']
7,@SRPGer,Second for Sofia Coppola's 'The Beguiled' Premiering at Cannes -,Neutral,0.0,['sofia coppola', "'s 'the", 'beguiled', 'premiering', 'cannes']
8,@long_coat_mania,The Beguiled -The Best Movie,Positive,1.0,['beguiled', 'movie']
9,@CafeGirlsPress,‘The Beguiled’ Trailer: Nicole Takes Revenge On Colin In Sofia Remake Looking forward!!,Neutral,0.0,['beguiled’ trailer', 'nicole takes revenge', 'colin', 'sofia remake looking']
10,@wongie1,Dude...don't mess with women! Sofia Coppola's The Beguiled is gonna teach you a lesson!,Negative,-0.2734375,['dude', "n't mess", 'sofia coppola', 'beguiled', 'gon na']
11,@sineadsmonde,‘The Beguiled’ Trailer: Sofia Coppola Goes West:,Neutral,0.0,['beguiled’ trailer', 'sofia coppola goes']
12,@twodayrental,I was thinking about Eastwood  Siegel making The Beguiled and how weird it was. I had no clue there was a remake.,Negative,-0.5,['eastwood siegel', 'beguiled']
13,@WorldOfWongie,Getting it's Festival de Cannes world premiere Sofia Coppola's The Beguiled looks like fun!,Positive,0.375,["'s festival", 'cannes', 'world premiere', 'sofia coppola', 'beguiled']
14,@sineadsmonde,.....I am for sofia coppola doing a genre film,Neutral,0.0,['... ..i', 'sofia coppola', 'genre film']
15,@tekchik_twts14,Sofia Coppola's might be the most twisted Palme d'Or contender. Watch the trailer:,Neutral,0.0,['sofia coppola', 'palme', "d'or contender", 'watch']
16,@Andree26M,The Beguiled 🤔,Neutral,0.0,['beguiled']
17,@KandSGC,I liked a video THE BEGUILED - Official Trailer [HD] - In Theaters June 23,Positive,0.6,['the beguiled', 'trailer', 'hd', 'theaters june']
18,@INCNews,Our weekly preferred film:2nd -THE BEGUILED Trailer (2017) Colin Farrell Elle Fanning Sofia Coppola D via,Neutral,0.0,['film:2nd -the', 'beguiled trailer', 'colin farrell elle fanning sofia coppola d']
19,@Tafeeeeesha,This trailer is creepy sexy and so so so so good:,Positive,0.2333333333333333,['creepy sexy']
20,@Sun_Vanessa_,This trailer is creepy sexy and so so so so good:,Positive,0.2333333333333333,['creepy sexy']
21,@dynamo_smart,The beguiled thomas,Neutral,0.0,[]
22,@WhatRULooking4,- Prince - Pittsburgh Penguins - Margot Robbie - Ledell Lee - The Beguiled - Cavs - Cuba Gooding Sr - Paris - NFL…,Neutral,0.0,['pittsburgh penguins', 'margot robbie', 'ledell lee', 'beguiled', 'cavs', 'cuba gooding sr', 'paris', 'nfl…']
23,@burpbbpy,Sofia Coppola's might be the most twisted Palme d'Or contender. Watch the trailer:,Neutral,0.0,['sofia coppola', 'palme', "d'or contender", 'watch']
24,@gTrends_jp,* Prince * Pittsburgh Penguins * Margot Robbie * Ledell Lee * The Beguiled * Cavs * Cuba Gooding Sr * Paris * NFL…,Neutral,0.0,['* prince *', 'pittsburgh penguins', 'margot robbie', 'ledell lee', 'beguiled', 'cavs', 'cuba gooding sr', 'paris', 'nfl…']
25,@hughes6043,The trailer for "The Beguiled" will leave you shaken to your core,Neutral,0.0,['beguiled']
26,@LorisGeroudet,THE BEGUILED - Official Trailer [HD] - In Theaters June 23,Neutral,0.0,['the beguiled', 'trailer', 'hd', 'theaters june']
27,@FactKINGFacts,Popular on Google: * Prince * Pittsburgh Penguins * Margot Robbie * Ledell Lee * The Beguiled * Cavs * Cuba Gooding Sr * Paris * NFL…,Positive,0.6,['popular', 'google', '* prince *', 'pittsburgh penguins', 'margot robbie', 'ledell lee', 'beguiled', 'cavs', 'cuba gooding sr', 'paris', 'nfl…']
28,@AfricaPulse,Sofia Coppola makes 'The Beguiled' a Southern Gothic tale all her own -,Positive,0.3,['sofia coppola', 'beguiled', 'gothic']
29,@CollectedN,'Then all the men disappear': Sofia Coppola on her Southern Gothic tale 'The Beguiled',Neutral,0.0,['men disappear', 'sofia coppola', 'gothic', "tale 'the", 'beguiled']
30,@AndreaGiangreco,The beguiled trailer though ✌🏻✌🏻✌🏻✌🏻✌🏻✌🏻✌🏻✌🏻✌🏻✌🏻✌🏻✌🏻✌🏻✌🏻✌🏻,Neutral,0.0,[]
31,@zoe_nor,'Then all the men disappear': Sofia Coppola on her Southern Gothic tale 'The Beguiled',Neutral,0.0,['men disappear', 'sofia coppola', 'gothic', "tale 'the", 'beguiled']
32,@HotChkNewsTweet,'Then all the men disappear': Sofia Coppola on her Southern Gothic tale 'The Beguiled' (LA Times),Neutral,0.0,['men disappear', 'sofia coppola', 'gothic', "tale 'the", 'beguiled', 'la']
33,@HotChkNewsTweet,Sofia Coppola makes 'The Beguiled' a Southern Gothic tale all her own (LA Times),Positive,0.3,['sofia coppola', 'beguiled', 'gothic', 'la']
34,@ColetonBryan,‘The Beguiled’ Trailer: Sofia Coppola Goes West:,Neutral,0.0,['beguiled’ trailer', 'sofia coppola goes']
35,@worldnews_net,'Then all the men disappear': Sofia Coppola on her Southern Gothic tale 'The Beguiled',Neutral,0.0,['men disappear', 'sofia coppola', 'gothic', "tale 'the", 'beguiled']
36,@sarakwon_,'Then all the men disappear': Sofia Coppola on her Southern Gothic tale 'The Beguiled',Neutral,0.0,['men disappear', 'sofia coppola', 'gothic', "tale 'the", 'beguiled']
37,@worldnews_net,Sofia Coppola makes 'The Beguiled' a Southern Gothic tale all her own,Positive,0.3,['sofia coppola', 'beguiled', 'gothic']
38,@videolato,The Beguiled Trailer (2017) | Movieclips Trailers,Neutral,0.0,['beguiled trailer', 'movieclips trailers']
