index,author,tweet,label,polarity,nouns
38,@Svckmydreadz,If the Milwaukee Bucks win their series against the Toronto Raptors everyone that retweets this  follows me will get my nudes,Positive,0.8,['milwaukee', 'toronto raptors']
39,@TheHouseSleep,If the Milwaukee Bucks win their series against the Toronto Raptors everyone that retweets this  follows me will get my nudes,Positive,0.8,['milwaukee', 'toronto raptors']
40,@Securethabag,If the Milwaukee Bucks win their series against the Toronto Raptors everyone that retweets this  follows me will get my nudes,Positive,0.8,['milwaukee', 'toronto raptors']
41,@Smook_Dawg,If the Milwaukee Bucks win their series against the Toronto Raptors everyone that retweets this  follows me will get my nudes,Positive,0.8,['milwaukee', 'toronto raptors']
42,@Silenceful,If the Milwaukee Bucks win their series against the Toronto Raptors everyone that retweets this  follows me will get my nudes,Positive,0.8,['milwaukee', 'toronto raptors']
43,@TheybelikeDar,If the Milwaukee Bucks win their series against the Toronto Raptors everyone that retweets this  follows me will get my nudes,Positive,0.8,['milwaukee', 'toronto raptors']
44,@Sammyy02K,If the Milwaukee Bucks win their series against the Toronto Raptors everyone that retweets this  follows me will get my nudes,Positive,0.8,['milwaukee', 'toronto raptors']
45,@SHREDDYBRADY,If the Milwaukee Bucks win their series against the Toronto Raptors everyone that retweets this  follows me will get my nudes,Positive,0.8,['milwaukee', 'toronto raptors']
46,@Only1Perseus,If the Milwaukee Bucks win their series against the Toronto Raptors everyone that retweets this  follows me will get my nudes,Positive,0.8,['milwaukee', 'toronto raptors']
47,@NotChiIIing,If the Milwaukee Bucks win their series against the Toronto Raptors everyone that retweets this  follows me will get my nudes,Positive,0.8,['milwaukee', 'toronto raptors']
48,@quaywitdaguap,If the Milwaukee Bucks win their series against the Toronto Raptors everyone that retweets this  follows me will get my nudes,Positive,0.8,['milwaukee', 'toronto raptors']
49,@phaariq,If the Milwaukee Bucks win their series against the Toronto Raptors everyone that retweets this  follows me will get my nudes,Positive,0.8,['milwaukee', 'toronto raptors']
50,@OfficialUrbane,If the Milwaukee Bucks win their series against the Toronto Raptors everyone that retweets this  follows me will get my nudes,Positive,0.8,['milwaukee', 'toronto raptors']
