index,author,tweet,label,polarity,nouns
59,@jdavis272012,Here's another look at the 2017 schedule. Preseason dates and times were officially set too.,Neutral,0.0,['preseason']
60,@wil_perez12,Here's another look at the 2017 schedule. Preseason dates and times were officially set too.,Neutral,0.0,['preseason']
61,@hunterbailey7,Here's another look at the 2017 schedule. Preseason dates and times were officially set too.,Neutral,0.0,['preseason']
62,@Sideshow8o8,And here it is: The 2017 regular season schedule,Neutral,0.0,['regular season schedule']
63,@DCitalstal,2017 🦅🏈schedule@🇺🇸🏛@👨🏻‍🍳🗽@⚡️🌵@🐈🇺🇸🏛🌁🐴@🤠💩🐻@🌧☕️@🐏@🗽☠️🤠💩@975Mornings,Neutral,0.0,['🦅🏈schedule @ 🇺🇸🏛 @ 👨🏻\u200d🍳🗽 @ ⚡️🌵 @ 🐈🇺🇸🏛🌁🐴 @ 🤠💩🐻 @ 🌧☕️ @ 🐏 @ 🗽☠️🤠💩 @ 975mornings']
64,@birch_beer007,Because I'm not me if I don't get overly hype about the in April,Neutral,0.0,['april']
65,@gabby13xo,And here it is: The 2017 regular season schedule,Neutral,0.0,['regular season schedule']
66,@Joe_Schiavoni,And here it is: The 2017 regular season schedule,Neutral,0.0,['regular season schedule']
67,@JSimoncavage,Eagles 2017 schedule: Game-by-game breakdown more info at: By,Positive,0.5,['game-by-game']
68,@s_middleton07,Here's another look at the 2017 schedule. Preseason dates and times were officially set too.,Neutral,0.0,['preseason']
69,@TommyTomko,Here's another look at the 2017 schedule. Preseason dates and times were officially set too.,Neutral,0.0,['preseason']
70,@sportmetweets,Schedule Leak: Eagles will play back-to-back West Coast road games,Neutral,0.0,['schedule leak', 'west coast road games']
71,@PLAY_THE_KID,Here's another look at the 2017 schedule. Preseason dates and times were officially set too.,Neutral,0.0,['preseason']
72,@_Hernandez73,Here's another look at the 2017 schedule. Preseason dates and times were officially set too.,Neutral,0.0,['preseason']
73,@DonEggon,Eagles 2017 schedule is out ...,Neutral,0.0,[]
74,@FuManLu113,Here's another look at the 2017 schedule. Preseason dates and times were officially set too.,Neutral,0.0,['preseason']
75,@ovoemilyann,Here's another look at the 2017 schedule. Preseason dates and times were officially set too.,Neutral,0.0,['preseason']
76,@KinggDarius_,And here it is: The 2017 regular season schedule,Neutral,0.0,['regular season schedule']
77,@BelperioDenise,Philadelphia Eagles Schedule 2017: Dates opponents game times tickets and more,Positive,0.04999999999999999,['schedule', 'dates', 'opponents game times tickets']
78,@SheChose_Dee,And here it is: The 2017 regular season schedule,Neutral,0.0,['regular season schedule']
79,@lizzieenguyen,Here's another look at the 2017 schedule. Preseason dates and times were officially set too.,Neutral,0.0,['preseason']
80,@sk8rkoby,Here's another look at the 2017 schedule. Preseason dates and times were officially set too.,Neutral,0.0,['preseason']
81,@WIPMiddayShow,How do you feel about the Eagles' 2017 schedule?,Neutral,0.0,[]
82,@aweSAM_xo,Here's another look at the 2017 schedule. Preseason dates and times were officially set too.,Neutral,0.0,['preseason']
83,@cusky88,Here's another look at the 2017 schedule. Preseason dates and times were officially set too.,Neutral,0.0,['preseason']
84,@cshep1989,And here it is: The 2017 regular season schedule,Neutral,0.0,['regular season schedule']
85,@brendan_mike27,And here it is: The 2017 regular season schedule,Neutral,0.0,['regular season schedule']
86,@BelperioDenise,NFL schedule 2017: Eagles to play Seahawks Rams in back-to-back weeks report says,Neutral,0.0,['nfl', 'seahawks rams', 'back-to-back weeks']
87,@kalimthedream3,Here's another look at the 2017 schedule. Preseason dates and times were officially set too.,Neutral,0.0,['preseason']
88,@nicholasquiles1,Here's another look at the 2017 schedule. Preseason dates and times were officially set too.,Neutral,0.0,['preseason']
89,@d1ballsquez,Here's another look at the 2017 schedule. Preseason dates and times were officially set too.,Neutral,0.0,['preseason']
90,@jarby4prez,And here it is: The 2017 regular season schedule,Neutral,0.0,['regular season schedule']
91,@Kevbot75,OFFICIAL: Philadelphia Eagles 2017 Schedule Is Here,Neutral,0.0,['official', 'philadelphia', 'schedule']
92,@LilJacuzziVert,Here's another look at the 2017 schedule. Preseason dates and times were officially set too.,Neutral,0.0,['preseason']
93,@wandaology,Philadelphia Eagles announce 2017 schedule via,Neutral,0.0,[]
94,@angelonofre99,Here's another look at the 2017 schedule. Preseason dates and times were officially set too.,Neutral,0.0,['preseason']
95,@Ryan_Mac_,Here's another look at the 2017 schedule. Preseason dates and times were officially set too.,Neutral,0.0,['preseason']
96,@_KitaXo,Here's another look at the 2017 schedule. Preseason dates and times were officially set too.,Neutral,0.0,['preseason']
97,@viviani_jr,Here's another look at the 2017 schedule. Preseason dates and times were officially set too.,Neutral,0.0,['preseason']
98,@CoAdam20,And here it is: The 2017 regular season schedule,Neutral,0.0,['regular season schedule']
99,@sportmetweets,NFL Schedule Rumors: Giants to play Redskins on Thanksgiving Night,Neutral,0.0,['nfl schedule rumors', 'redskins', 'thanksgiving']
100,@MrClutch440,Here's another look at the 2017 schedule. Preseason dates and times were officially set too.,Neutral,0.0,['preseason']
