index,author,tweet,label,polarity,nouns
1,@sobalaayo,Mia Khalifa askin Magic Johnson for the HIV cure,Positive,0.5,['mia khalifa', 'magic johnson', 'hiv']
2,@Zoneih,Every dude who has beat their meat to Mia Khalifa videos in the past year rn,Negative,-0.25,['mia khalifa', 'past year rn']
3,@AKA_CP3,when you at mia khalifa's bbq and see a mosquito,Neutral,0.0,["mia khalifa 's bbq"]
4,@garagekidd,If Mia Khalifa and Magic Johnson fuck won't the HIV cancel out? Ain't that PEMDAS or some shit?,Negative,-0.03333333333333335,['mia khalifa', 'magic johnson', "fuck wo n't", 'hiv', 'ai', 'pemdas']
5,@BluRay24,Mia khalifa is HIV positive?? Lmfaooo thank god it wasn't teanna trump. Nobody gaf abt mia,Positive,0.22727272727272727,['mia', 'hiv', 'lmfaooo', "n't teanna trump", 'gaf abt mia']
6,@a_baker44,Mia Khalifa got HIV? She's being punished by God for that hijabi threesome with step mom video,Neutral,0.0,['mia khalifa', 'hiv', 'god', 'hijabi threesome', 'step mom video']
7,@NotSoggyBoggy,If Mia Khalifa and Magic Johnson fuck won't the HIV cancel out? Ain't that PEMDAS or some shit?,Negative,-0.03333333333333335,['mia khalifa', 'magic johnson', "fuck wo n't", 'hiv', 'ai', 'pemdas']
8,@Foux_Turfs,REMEMBER THE PROMISE MIA KHALIFA MADE ABOUT DONALD TRUMP’S,Neutral,0.0,['remember the promise mia khalifa made about donald trump’s']
9,@CamJewton,when you at mia khalifa's bbq and see a mosquito,Neutral,0.0,["mia khalifa 's bbq"]
10,@prakashpandey07,.@miakhalifa finally clarifies she is not HIV positive | NewsX,Positive,0.11363636363636363,['@ miakhalifa', 'hiv', 'positive |', 'newsx']
11,@dmoreno666x,If Mia Khalifa and Magic Johnson fuck won't the HIV cancel out? Ain't that PEMDAS or some shit?,Negative,-0.03333333333333335,['mia khalifa', 'magic johnson', "fuck wo n't", 'hiv', 'ai', 'pemdas']
12,@Foux_Turfs,Fellas u at Mia Khalifa's barbecue and u see a mosquito wyd,Neutral,0.0,['fellas', 'mia khalifa', "'s barbecue", 'mosquito wyd']
13,@TrumpBot2000,REMEMBER THE PROMISE MIA KHALIFA MADE ABOUT DONALD TRUMP’S,Neutral,0.0,['remember the promise mia khalifa made about donald trump’s']
14,@_sicasso,That Mia khalifa situation is crazy. I thought they checked for STD's and stuff in the porn industry,Negative,-0.6,['mia', 'khalifa situation', 'std', 'porn industry']
15,@PhotographyTWM,tbhjustcathy: Woah!!😭 Porn Sensation Mia Khalifa responded to her Critics by posting 15 jaw Dropping videos😳🙈. Must Check Out Now… …,Neutral,0.0,['woah', 'porn sensation mia khalifa', 'critics', 'dropping', 'now…']
16,@rock_the_party_,REMEMBER THE PROMISE MIA KHALIFA MADE ABOUT DONALD TRUMP’S,Neutral,0.0,['remember the promise mia khalifa made about donald trump’s']
17,@Ohgod780Hero,REMEMBER THE PROMISE MIA KHALIFA MADE ABOUT DONALD TRUMP’S,Neutral,0.0,['remember the promise mia khalifa made about donald trump’s']
18,@ofunnyname,REMEMBER THE PROMISE MIA KHALIFA MADE ABOUT DONALD TRUMP’S,Neutral,0.0,['remember the promise mia khalifa made about donald trump’s']
19,@socrazy_people,REMEMBER THE PROMISE MIA KHALIFA MADE ABOUT DONALD TRUMP’S,Neutral,0.0,['remember the promise mia khalifa made about donald trump’s']
20,@ruhiraj11,REMEMBER THE PROMISE MIA KHALIFA MADE ABOUT DONALD TRUMP’S,Neutral,0.0,['remember the promise mia khalifa made about donald trump’s']
21,@oment__raj,REMEMBER THE PROMISE MIA KHALIFA MADE ABOUT DONALD TRUMP’S,Neutral,0.0,['remember the promise mia khalifa made about donald trump’s']
22,@Mylikestweet1,REMEMBER THE PROMISE MIA KHALIFA MADE ABOUT DONALD TRUMP’S,Neutral,0.0,['remember the promise mia khalifa made about donald trump’s']
23,@nauleshkumarsin,REMEMBER THE PROMISE MIA KHALIFA MADE ABOUT DONALD TRUMP’S,Neutral,0.0,['remember the promise mia khalifa made about donald trump’s']
24,@rajhavraj,REMEMBER THE PROMISE MIA KHALIFA MADE ABOUT DONALD TRUMP’S,Neutral,0.0,['remember the promise mia khalifa made about donald trump’s']
25,@Mayank100k,REMEMBER THE PROMISE MIA KHALIFA MADE ABOUT DONALD TRUMP’S,Neutral,0.0,['remember the promise mia khalifa made about donald trump’s']
26,@vibhuvibhu57,REMEMBER THE PROMISE MIA KHALIFA MADE ABOUT DONALD TRUMP’S,Neutral,0.0,['remember the promise mia khalifa made about donald trump’s']
27,@masivethoughts,REMEMBER THE PROMISE MIA KHALIFA MADE ABOUT DONALD TRUMP’S,Neutral,0.0,['remember the promise mia khalifa made about donald trump’s']
28,@mykaljackson42,REMEMBER THE PROMISE MIA KHALIFA MADE ABOUT DONALD TRUMP’S,Neutral,0.0,['remember the promise mia khalifa made about donald trump’s']
29,@web_work_,REMEMBER THE PROMISE MIA KHALIFA MADE ABOUT DONALD TRUMP’S,Neutral,0.0,['remember the promise mia khalifa made about donald trump’s']
30,@marrigold5,REMEMBER THE PROMISE MIA KHALIFA MADE ABOUT DONALD TRUMP’S,Neutral,0.0,['remember the promise mia khalifa made about donald trump’s']
31,@surajhindustan3,REMEMBER THE PROMISE MIA KHALIFA MADE ABOUT DONALD TRUMP’S,Neutral,0.0,['remember the promise mia khalifa made about donald trump’s']
32,@thefunnysposts,REMEMBER THE PROMISE MIA KHALIFA MADE ABOUT DONALD TRUMP’S,Neutral,0.0,['remember the promise mia khalifa made about donald trump’s']
33,@porantext,REMEMBER THE PROMISE MIA KHALIFA MADE ABOUT DONALD TRUMP’S,Neutral,0.0,['remember the promise mia khalifa made about donald trump’s']
34,@mrs_lovelysingh,REMEMBER THE PROMISE MIA KHALIFA MADE ABOUT DONALD TRUMP’S,Neutral,0.0,['remember the promise mia khalifa made about donald trump’s']
35,@tdayrichard,REMEMBER THE PROMISE MIA KHALIFA MADE ABOUT DONALD TRUMP’S,Neutral,0.0,['remember the promise mia khalifa made about donald trump’s']
36,@textporns,REMEMBER THE PROMISE MIA KHALIFA MADE ABOUT DONALD TRUMP’S,Neutral,0.0,['remember the promise mia khalifa made about donald trump’s']
37,@premranjan00091,REMEMBER THE PROMISE MIA KHALIFA MADE ABOUT DONALD TRUMP’S,Neutral,0.0,['remember the promise mia khalifa made about donald trump’s']
38,@pihu950,REMEMBER THE PROMISE MIA KHALIFA MADE ABOUT DONALD TRUMP’S,Neutral,0.0,['remember the promise mia khalifa made about donald trump’s']
39,@porantexts,REMEMBER THE PROMISE MIA KHALIFA MADE ABOUT DONALD TRUMP’S,Neutral,0.0,['remember the promise mia khalifa made about donald trump’s']
40,@pritendparents,REMEMBER THE PROMISE MIA KHALIFA MADE ABOUT DONALD TRUMP’S,Neutral,0.0,['remember the promise mia khalifa made about donald trump’s']
41,@PALL_RANI,REMEMBER THE PROMISE MIA KHALIFA MADE ABOUT DONALD TRUMP’S,Neutral,0.0,['remember the promise mia khalifa made about donald trump’s']
42,@Truelovf,REMEMBER THE PROMISE MIA KHALIFA MADE ABOUT DONALD TRUMP’S,Neutral,0.0,['remember the promise mia khalifa made about donald trump’s']
43,@porantext_,REMEMBER THE PROMISE MIA KHALIFA MADE ABOUT DONALD TRUMP’S,Neutral,0.0,['remember the promise mia khalifa made about donald trump’s']
44,@thingsofact,REMEMBER THE PROMISE MIA KHALIFA MADE ABOUT DONALD TRUMP’S,Neutral,0.0,['remember the promise mia khalifa made about donald trump’s']
45,@prabhat20682140,REMEMBER THE PROMISE MIA KHALIFA MADE ABOUT DONALD TRUMP’S,Neutral,0.0,['remember the promise mia khalifa made about donald trump’s']
46,@onlytwet,REMEMBER THE PROMISE MIA KHALIFA MADE ABOUT DONALD TRUMP’S,Neutral,0.0,['remember the promise mia khalifa made about donald trump’s']
47,@pappuku32831597,REMEMBER THE PROMISE MIA KHALIFA MADE ABOUT DONALD TRUMP’S,Neutral,0.0,['remember the promise mia khalifa made about donald trump’s']
48,@patanjalirishi2,REMEMBER THE PROMISE MIA KHALIFA MADE ABOUT DONALD TRUMP’S,Neutral,0.0,['remember the promise mia khalifa made about donald trump’s']
49,@mrslovelykumari,REMEMBER THE PROMISE MIA KHALIFA MADE ABOUT DONALD TRUMP’S,Neutral,0.0,['remember the promise mia khalifa made about donald trump’s']
50,@mewisepost,REMEMBER THE PROMISE MIA KHALIFA MADE ABOUT DONALD TRUMP’S,Neutral,0.0,['remember the promise mia khalifa made about donald trump’s']
51,@Monti_dudu,REMEMBER THE PROMISE MIA KHALIFA MADE ABOUT DONALD TRUMP’S,Neutral,0.0,['remember the promise mia khalifa made about donald trump’s']
52,@SumanKu06046771,REMEMBER THE PROMISE MIA KHALIFA MADE ABOUT DONALD TRUMP’S,Neutral,0.0,['remember the promise mia khalifa made about donald trump’s']
53,@sanojisla123,REMEMBER THE PROMISE MIA KHALIFA MADE ABOUT DONALD TRUMP’S,Neutral,0.0,['remember the promise mia khalifa made about donald trump’s']
54,@mindconsole_,REMEMBER THE PROMISE MIA KHALIFA MADE ABOUT DONALD TRUMP’S,Neutral,0.0,['remember the promise mia khalifa made about donald trump’s']
55,@mithlesh__,REMEMBER THE PROMISE MIA KHALIFA MADE ABOUT DONALD TRUMP’S,Neutral,0.0,['remember the promise mia khalifa made about donald trump’s']
56,@shrutidarling2,REMEMBER THE PROMISE MIA KHALIFA MADE ABOUT DONALD TRUMP’S,Neutral,0.0,['remember the promise mia khalifa made about donald trump’s']
57,@sofunnyname,REMEMBER THE PROMISE MIA KHALIFA MADE ABOUT DONALD TRUMP’S,Neutral,0.0,['remember the promise mia khalifa made about donald trump’s']
58,@soamazingthing,REMEMBER THE PROMISE MIA KHALIFA MADE ABOUT DONALD TRUMP’S,Neutral,0.0,['remember the promise mia khalifa made about donald trump’s']
59,@storyoffact,REMEMBER THE PROMISE MIA KHALIFA MADE ABOUT DONALD TRUMP’S,Neutral,0.0,['remember the promise mia khalifa made about donald trump’s']
60,@sourfunny,REMEMBER THE PROMISE MIA KHALIFA MADE ABOUT DONALD TRUMP’S,Neutral,0.0,['remember the promise mia khalifa made about donald trump’s']
61,@socrazyname,REMEMBER THE PROMISE MIA KHALIFA MADE ABOUT DONALD TRUMP’S,Neutral,0.0,['remember the promise mia khalifa made about donald trump’s']
62,@RoseBautiful,REMEMBER THE PROMISE MIA KHALIFA MADE ABOUT DONALD TRUMP’S,Neutral,0.0,['remember the promise mia khalifa made about donald trump’s']
63,@rajsonu0096,REMEMBER THE PROMISE MIA KHALIFA MADE ABOUT DONALD TRUMP’S,Neutral,0.0,['remember the promise mia khalifa made about donald trump’s']
64,@RajhavRajiv,REMEMBER THE PROMISE MIA KHALIFA MADE ABOUT DONALD TRUMP’S,Neutral,0.0,['remember the promise mia khalifa made about donald trump’s']
65,@racer_a2,REMEMBER THE PROMISE MIA KHALIFA MADE ABOUT DONALD TRUMP’S,Neutral,0.0,['remember the promise mia khalifa made about donald trump’s']
