index,author,tweet,label,polarity,nouns
1,@sacbee_news,Singer Cuba Gooding Sr. found dead in car in Los Angeles,Negative,-0.2,['singer cuba gooding sr.', 'los angeles']
2,@NiceGuy504,Cuba Gooding Sr. murdered April 20 2017 +April Fools 4/20 MLB Basebal...,Neutral,0.0,['cuba gooding sr.', 'april', 'fools', 'mlb basebal']
3,@EricOlmos2197,Soul singer Cuba Gooding Sr. found dead in Woodland Hills,Negative,-0.2,['soul', 'cuba gooding sr.']
4,@svo_mags,Cuba Gooding Jr.  Omar Gooding look JUST like their dad. My prayers go out to Cuba Gooding Sr.'s family during this di…,Neutral,0.0,['cuba gooding jr. omar gooding', 'just', 'cuba gooding sr.', "'s family"]
5,@ujamroxygirl,Cuba Gooding Sr. singer of 1972 hit "Everybody Plays the Fool" and father of actor Cuba Gooding Jr. dies at age 72,Neutral,0.0,['cuba gooding sr.', 'plays', 'fool', 'cuba gooding jr.']
6,@Power107augusta,Cuba Gooding Sr. a popular soul singer and father to the Oscar winner was found dead.,Positive,0.19999999999999998,['cuba gooding sr.', 'popular soul singer', 'oscar']
7,@ghosttown14,Cuba Gooding Sr. found dead in car by police,Negative,-0.2,['cuba gooding sr.']
8,@ogsticks_,Cuba Gooding Sr. Found dead in his car at age 72.,Negative,-0.2,['cuba gooding sr. found']
9,@them_mark,Singer Cuba Gooding Sr. found dead in car in Los Angeles,Negative,-0.2,['singer cuba gooding sr.', 'los angeles']
10,@jadoreiliana,Cuba Gooding Sr. Found dead in his car at age 72.,Negative,-0.2,['cuba gooding sr. found']
11,@931wzak,Rest In Peace Cuba -The TJMS Remembers Cuba Gooding Sr. [TRIBUTE],Neutral,0.0,['rest', 'cuba', 'tjms remembers cuba gooding sr.', 'tribute']
12,@Deb_Libby,Cuba Gooding Sr 72 found dead in his car yesterday ✨Peace to his Beloveds✨,Negative,-0.2,['cuba gooding sr', 'beloveds✨']
13,@K927FM,Condolences to the family and friends of singer/actor Cuba Gooding Sr. The former lead singer of Main Ingredient...,Positive,0.08333333333333333,['condolences', 'cuba gooding sr', 'lead singer', 'ingredient']
14,@LilMark_,RIP CUBA GOODING SR 🙏🏿,Neutral,0.0,['rip cuba gooding sr']
15,@hepromisedher,Cuba Gooding Sr. soul singer and Cuba Gooding's dad dies at 72,Neutral,0.0,['cuba gooding sr.', 'soul singer', 'cuba gooding', "'s dad"]
16,@X1023FM,Cuba Gooding Sr. Found Dead In His Car,Negative,-0.2,['cuba gooding sr. found dead', 'car']
17,@deffam,Soul singer Cuba Gooding Sr. 72 found dead inside car in Woodland Hills,Negative,-0.2,['soul', 'cuba gooding sr.']
18,@Alia_Rendezvous,Cuba Gooding Sr. Found Slumped Over in His Jaguar—Items in the Car Lead to 'Overdose' Fears,Neutral,0.0,['cuba gooding sr. found slumped', 'jaguar—items', 'car lead']
19,@trueviralnews,Singer Cuba Gooding Sr. found dead in car in Los Angeles,Negative,-0.2,['singer cuba gooding sr.', 'los angeles']
20,@NMEACS,Omg.... Gooding Sr. was a great soul singer in the 70's. Condolences to Cuba Jr and the rest of the family...,Positive,0.8,['omg', 'gooding sr.', 'great soul singer', 'condolences', 'cuba jr', 'family ...']
21,@TheOtherLRH,R.I.P. Cuba Gooding Sr. singer of “Everybody Plays The Fool”,Neutral,0.0,['r.i.p', 'cuba gooding sr.', 'plays', 'fool”']
22,@AnjilikaTanika,RIP to Cuba Gooding Sr. lead singer of 'The Main Ingredient' hit song 'Everybody Plays the Fool' father of Cuba Gooding Jr…,Positive,0.16666666666666666,['rip', 'cuba gooding sr.', 'lead singer', 'ingredient', "song 'everybody", 'plays', 'fool', 'cuba gooding jr…']
23,@Magiccolumbus95,The TJMS Remembers Cuba Gooding Sr. [TRIBUTE],Neutral,0.0,['tjms remembers cuba gooding sr.', 'tribute']
24,@NMEACS,Cuba Gooding Sr. the father of the Oscar-winning actor was found dead in his car today,Negative,-0.2,['cuba gooding sr.', 'oscar-winning']
25,@Celeb_Chattr,Soul singer Cuba Gooding Sr. found dead at the age of 72,Negative,-0.2,['soul', 'cuba gooding sr.']
26,@NMEACS,Cuba Gooding Sr. Dead at 72 Possible Overdose via,Negative,-0.1,['cuba gooding sr. dead', 'overdose']
27,@sui_kelly,Cuba Gooding Sr. found dead in his car,Negative,-0.2,['cuba gooding sr.']
