index,author,tweet,label,polarity,nouns
40,@ClarendonPatch,Movies Out This Weekend: 'Born in China' 'Free Fire' 'The Promise' And 'Unforgettable',Positive,0.6000000000000001,['movies', 'weekend', 'china', "'free fire", 'promise']
41,@FremontPatch,Movies Out This Weekend: 'Born in China' 'Free Fire' 'The Promise' And 'Unforgettable',Positive,0.6000000000000001,['movies', 'weekend', 'china', "'free fire", 'promise']
42,@AlexandriaPatch,Movies Out This Weekend: 'Born in China' 'Free Fire' 'The Promise' And 'Unforgettable',Positive,0.6000000000000001,['movies', 'weekend', 'china', "'free fire", 'promise']
43,@GrotonCTPatch,Movies Out This Weekend: 'Born in China' 'Free Fire' 'The Promise' And 'Unforgettable',Positive,0.6000000000000001,['movies', 'weekend', 'china', "'free fire", 'promise']
44,@BWPatch,It's between a panda family in Disneynature’s “Born in China” and two Oscar winners this weekend. Find out which……,Neutral,0.0,['panda family', 'disneynature’s', 'china”', 'oscar', 'find']
45,@GreenbeltPatch,Movies Out This Weekend: 'Born in China' 'Free Fire' 'The Promise' And 'Unforgettable',Positive,0.6000000000000001,['movies', 'weekend', 'china', "'free fire", 'promise']
46,@PatchMass,Movies Out This Weekend: 'Born in China' 'Free Fire' 'The Promise' And 'Unforgettable',Positive,0.6000000000000001,['movies', 'weekend', 'china', "'free fire", 'promise']
47,@SilvSpringPatch,Movies Out This Weekend: 'Born in China' 'Free Fire' 'The Promise' And 'Unforgettable',Positive,0.6000000000000001,['movies', 'weekend', 'china', "'free fire", 'promise']
48,@ProspectHtPatch,Movies Out This Weekend: 'Born in China' 'Free Fire' 'The Promise' And 'Unforgettable',Positive,0.6000000000000001,['movies', 'weekend', 'china', "'free fire", 'promise']
49,@NorwichPatch,Movies Out This Weekend: 'Born in China' 'Free Fire' 'The Promise' And 'Unforgettable',Positive,0.6000000000000001,['movies', 'weekend', 'china', "'free fire", 'promise']
50,@MontILPatch,Movies Out This Weekend: 'Born in China' 'Free Fire' 'The Promise' And 'Unforgettable',Positive,0.6000000000000001,['movies', 'weekend', 'china', "'free fire", 'promise']
51,@YorkvillePatch,Movies Out This Weekend: 'Born in China' 'Free Fire' 'The Promise' And 'Unforgettable',Positive,0.6000000000000001,['movies', 'weekend', 'china', "'free fire", 'promise']
52,@PalmDesertPatch,Movies Out This Weekend: 'Born in China' 'Free Fire' 'The Promise' And 'Unforgettable',Positive,0.6000000000000001,['movies', 'weekend', 'china', "'free fire", 'promise']
53,@NorthbrookPatch,Movies Out This Weekend: 'Born in China' 'Free Fire' 'The Promise' And 'Unforgettable',Positive,0.6000000000000001,['movies', 'weekend', 'china', "'free fire", 'promise']
54,@FarmingtonPatch,Movies Out This Weekend: 'Born in China' 'Free Fire' 'The Promise' And 'Unforgettable',Positive,0.6000000000000001,['movies', 'weekend', 'china', "'free fire", 'promise']
55,@WethersfldPatch,Movies Out This Weekend: 'Born in China' 'Free Fire' 'The Promise' And 'Unforgettable',Positive,0.6000000000000001,['movies', 'weekend', 'china', "'free fire", 'promise']
56,@EncinoPatch,Movies Out This Weekend: 'Born in China' 'Free Fire' 'The Promise' And 'Unforgettable',Positive,0.6000000000000001,['movies', 'weekend', 'china', "'free fire", 'promise']
57,@ReadingMAPatch,Movies Out This Weekend: 'Born in China' 'Free Fire' 'The Promise' And 'Unforgettable',Positive,0.6000000000000001,['movies', 'weekend', 'china', "'free fire", 'promise']
58,@monroepatch,Movies Out This Weekend: 'Born in China' 'Free Fire' 'The Promise' And 'Unforgettable',Positive,0.6000000000000001,['movies', 'weekend', 'china', "'free fire", 'promise']
59,@WestHavenPatch,Movies Out This Weekend: 'Born in China' 'Free Fire' 'The Promise' And 'Unforgettable',Positive,0.6000000000000001,['movies', 'weekend', 'china', "'free fire", 'promise']
60,@CedarParkPatch,Movies Out This Weekend: 'Born in China' 'Free Fire' 'The Promise' And 'Unforgettable',Positive,0.6000000000000001,['movies', 'weekend', 'china', "'free fire", 'promise']
61,@SwanseaMAPatch,Movies Out This Weekend: 'Born in China' 'Free Fire' 'The Promise' And 'Unforgettable',Positive,0.6000000000000001,['movies', 'weekend', 'china', "'free fire", 'promise']
62,@WestminstrPatch,Movies Out This Weekend: 'Born in China' 'Free Fire' 'The Promise' And 'Unforgettable',Positive,0.6000000000000001,['movies', 'weekend', 'china', "'free fire", 'promise']
63,@RivertownsPatch,Movies Out This Weekend: 'Born in China' 'Free Fire' 'The Promise' And 'Unforgettable',Positive,0.6000000000000001,['movies', 'weekend', 'china', "'free fire", 'promise']
64,@ForestParkPatch,Movies Out This Weekend: 'Born in China' 'Free Fire' 'The Promise' And 'Unforgettable',Positive,0.6000000000000001,['movies', 'weekend', 'china', "'free fire", 'promise']
65,@HuntingtonPatch,Movies Out This Weekend: 'Born in China' 'Free Fire' 'The Promise' And 'Unforgettable',Positive,0.6000000000000001,['movies', 'weekend', 'china', "'free fire", 'promise']
66,@EastLakePatch,Movies Out This Weekend: 'Born in China' 'Free Fire' 'The Promise' And 'Unforgettable',Positive,0.6000000000000001,['movies', 'weekend', 'china', "'free fire", 'promise']
67,@PalmHarborPatch,Movies Out This Weekend: 'Born in China' 'Free Fire' 'The Promise' And 'Unforgettable',Positive,0.6000000000000001,['movies', 'weekend', 'china', "'free fire", 'promise']
68,@LakeZurichPatch,Movies Out This Weekend: 'Born in China' 'Free Fire' 'The Promise' And 'Unforgettable',Positive,0.6000000000000001,['movies', 'weekend', 'china', "'free fire", 'promise']
69,@MadisonCTPatch,Movies Out This Weekend: 'Born in China' 'Free Fire' 'The Promise' And 'Unforgettable',Positive,0.6000000000000001,['movies', 'weekend', 'china', "'free fire", 'promise']
70,@LivPatch,Movies Out This Weekend: 'Born in China' 'Free Fire' 'The Promise' And 'Unforgettable',Positive,0.6000000000000001,['movies', 'weekend', 'china', "'free fire", 'promise']
71,@JohnstonIAPatch,Movies Out This Weekend: 'Born in China' 'Free Fire' 'The Promise' And 'Unforgettable',Positive,0.6000000000000001,['movies', 'weekend', 'china', "'free fire", 'promise']
72,@StCharlsMOPatch,Movies Out This Weekend: 'Born in China' 'Free Fire' 'The Promise' And 'Unforgettable',Positive,0.6000000000000001,['movies', 'weekend', 'china', "'free fire", 'promise']
73,@FlatbushPatch,Movies Out This Weekend: 'Born in China' 'Free Fire' 'The Promise' And 'Unforgettable',Positive,0.6000000000000001,['movies', 'weekend', 'china', "'free fire", 'promise']
74,@PelhamPatch,Movies Out This Weekend: 'Born in China' 'Free Fire' 'The Promise' And 'Unforgettable',Positive,0.6000000000000001,['movies', 'weekend', 'china', "'free fire", 'promise']
75,@NWhitehallPatch,Movies Out This Weekend: 'Born in China' 'Free Fire' 'The Promise' And 'Unforgettable',Positive,0.6000000000000001,['movies', 'weekend', 'china', "'free fire", 'promise']
76,@WaylandMAPatch,Movies Out This Weekend: 'Born in China' 'Free Fire' 'The Promise' And 'Unforgettable',Positive,0.6000000000000001,['movies', 'weekend', 'china', "'free fire", 'promise']
77,@MBPatch,Movies Out This Weekend: 'Born in China' 'Free Fire' 'The Promise' And 'Unforgettable',Positive,0.6000000000000001,['movies', 'weekend', 'china', "'free fire", 'promise']
78,@FlorissantPatch,Movies Out This Weekend: 'Born in China' 'Free Fire' 'The Promise' And 'Unforgettable',Positive,0.6000000000000001,['movies', 'weekend', 'china', "'free fire", 'promise']
79,@ArlCoVAPatch,Movies Out This Weekend: 'Born in China' 'Free Fire' 'The Promise' And 'Unforgettable',Positive,0.6000000000000001,['movies', 'weekend', 'china', "'free fire", 'promise']
80,@BethelPatch,Movies Out This Weekend: 'Born in China' 'Free Fire' 'The Promise' And 'Unforgettable',Positive,0.6000000000000001,['movies', 'weekend', 'china', "'free fire", 'promise']
81,@LexingtnSCPatch,Movies Out This Weekend: 'Born in China' 'Free Fire' 'The Promise' And 'Unforgettable',Positive,0.6000000000000001,['movies', 'weekend', 'china', "'free fire", 'promise']
82,@BalwinElisPatch,Movies Out This Weekend: 'Born in China' 'Free Fire' 'The Promise' And 'Unforgettable',Positive,0.6000000000000001,['movies', 'weekend', 'china', "'free fire", 'promise']
83,@NorthEndPatch,Movies Out This Weekend: 'Born in China' 'Free Fire' 'The Promise' And 'Unforgettable',Positive,0.6000000000000001,['movies', 'weekend', 'china', "'free fire", 'promise']
84,@RockvillePatch,Movies Out This Weekend: 'Born in China' 'Free Fire' 'The Promise' And 'Unforgettable',Positive,0.6000000000000001,['movies', 'weekend', 'china', "'free fire", 'promise']
85,@SnellvillePatch,Movies Out This Weekend: 'Born in China' 'Free Fire' 'The Promise' And 'Unforgettable',Positive,0.6000000000000001,['movies', 'weekend', 'china', "'free fire", 'promise']
86,@SumvillePatch,Movies Out This Weekend: 'Born in China' 'Free Fire' 'The Promise' And 'Unforgettable',Positive,0.6000000000000001,['movies', 'weekend', 'china', "'free fire", 'promise']
87,@MehlOakPatch,Movies Out This Weekend: 'Born in China' 'Free Fire' 'The Promise' And 'Unforgettable',Positive,0.6000000000000001,['movies', 'weekend', 'china', "'free fire", 'promise']
88,@MilfordCTPatch,Movies Out This Weekend: 'Born in China' 'Free Fire' 'The Promise' And 'Unforgettable',Positive,0.6000000000000001,['movies', 'weekend', 'china', "'free fire", 'promise']
89,@NilesMGILPatch,Movies Out This Weekend: 'Born in China' 'Free Fire' 'The Promise' And 'Unforgettable',Positive,0.6000000000000001,['movies', 'weekend', 'china', "'free fire", 'promise']
90,@AnnandalePatch,Movies Out This Weekend: 'Born in China' 'Free Fire' 'The Promise' And 'Unforgettable',Positive,0.6000000000000001,['movies', 'weekend', 'china', "'free fire", 'promise']
91,@PortWashWIPatch,Movies Out This Weekend: 'Born in China' 'Free Fire' 'The Promise' And 'Unforgettable',Positive,0.6000000000000001,['movies', 'weekend', 'china', "'free fire", 'promise']
92,@MtVernonPatch,Movies Out This Weekend: 'Born in China' 'Free Fire' 'The Promise' And 'Unforgettable',Positive,0.6000000000000001,['movies', 'weekend', 'china', "'free fire", 'promise']
93,@UrbandalePatch,Movies Out This Weekend: 'Born in China' 'Free Fire' 'The Promise' And 'Unforgettable',Positive,0.6000000000000001,['movies', 'weekend', 'china', "'free fire", 'promise']
94,@SmithfldRIPatch,Movies Out This Weekend: 'Born in China' 'Free Fire' 'The Promise' And 'Unforgettable',Positive,0.6000000000000001,['movies', 'weekend', 'china', "'free fire", 'promise']
95,@TakomaParkPatch,Movies Out This Weekend: 'Born in China' 'Free Fire' 'The Promise' And 'Unforgettable',Positive,0.6000000000000001,['movies', 'weekend', 'china', "'free fire", 'promise']
96,@GlenviewPatch,Movies Out This Weekend: 'Born in China' 'Free Fire' 'The Promise' And 'Unforgettable',Positive,0.6000000000000001,['movies', 'weekend', 'china', "'free fire", 'promise']
97,@MuskegoPatch,Movies Out This Weekend: 'Born in China' 'Free Fire' 'The Promise' And 'Unforgettable',Positive,0.6000000000000001,['movies', 'weekend', 'china', "'free fire", 'promise']
98,@GlenBurniePatch,Movies Out This Weekend: 'Born in China' 'Free Fire' 'The Promise' And 'Unforgettable',Positive,0.6000000000000001,['movies', 'weekend', 'china', "'free fire", 'promise']
99,@DublinPatch,Movies Out This Weekend: 'Born in China' 'Free Fire' 'The Promise' And 'Unforgettable',Positive,0.6000000000000001,['movies', 'weekend', 'china', "'free fire", 'promise']
100,@SCSPatch,Movies Out This Weekend: 'Born in China' 'Free Fire' 'The Promise' And 'Unforgettable',Positive,0.6000000000000001,['movies', 'weekend', 'china', "'free fire", 'promise']
