index,author,tweet,label,polarity,nouns
1,@recordeli,Recordeli get stocked「Our Man In Paris」by Dexter Gordon ▶︎,Neutral,0.0,['recordeli', 'stocked「our man', 'paris」by dexter gordon']
2,@WoodardHortense,Paris 4/20 Attack Hoax Caused by Alex Jones--Lies Lies Lies! NWO Secret ... via,Negative,-0.4,['attack hoax caused', 'alex jones', 'lies lies lies', 'nwo', 'secret ...']
3,@Kaide_Walsh,What occurs in France will ripple across the Atlantic. History repeats itself... The Barbarians are at t…,Neutral,0.0,['france', 'atlantic', 'history', 'barbarians']
4,@parvenbd,.@dailystarnews IS claims Paris attack!!,Neutral,0.0,['@ dailystarnews', 'is', 'paris']
5,@LisettePylant,The police officer killed in the Paris attack was a proud defender of gay rights,Positive,0.33888888888888896,['police officer', 'paris', 'proud defender', 'gay rights']
6,@tubenewsen,Trump: Paris terror attack will impact French election NEWS &gt&gt,Neutral,0.0,['trump', 'paris', 'terror attack', 'french election', 'news']
7,@Rakelmarkos,The police officer killed in the Paris attack was a proud defender of gay rights,Positive,0.33888888888888896,['police officer', 'paris', 'proud defender', 'gay rights']
8,@KNHops,Britain First leader posts blatant fake news gets caught out immediately,Negative,-0.25,['britain', 'leader posts blatant fake news']
9,@janendg2016,Just got back from Paris- constantly felt I needed to look over my shoulder seedy people ever…,Neutral,0.0,['paris-', 'shoulder seedy people ever…']
10,@kevmarmol,How can Twitter tick an account which tweets out a cricket win as celebrating Paris attack'? Ban Fake news,Positive,0.15000000000000002,['twitter', 'paris', 'ban fake']
11,@Goaliemom3533,How' that Open Borders/Multiculturalism Utopia working out for,Neutral,0.0,['borders/multiculturalism utopia']
12,@EJ_Atwood,Another terrorist attack in Paris. The people of France will not take much more of this. Will have a big effect on pre…,Positive,0.25,['terrorist attack', 'paris', 'france', 'will', 'big effect']
13,@Carlanun,The police officer killed in the Paris attack was a proud defender of gay rights,Positive,0.33888888888888896,['police officer', 'paris', 'proud defender', 'gay rights']
14,@PeaceAlwaysWork,The police officer killed in the Paris attack was a proud defender of gay rights,Positive,0.33888888888888896,['police officer', 'paris', 'proud defender', 'gay rights']
15,@EnagniD,Sections of Paris on lockdown after pre-election shooting,Neutral,0.0,['sections', 'paris', 'pre-election shooting']
16,@glangendorf01,Paris tweet is direct attempt 2 influence French election's outcome toward anti-EU Marine Le Pen. Working han…,Positive,0.05,['direct attempt', "french election 's outcome", 'anti-eu marine', 'pen', 'working']
17,@blueberry0455,Theo Graham wearing a Christian Dior gown Paris 1949 photo by Richard Avedon for Harper’s Bazaar,Neutral,0.0,['theo graham', 'dior', 'paris', 'richard avedon', 'harper’s bazaar']
18,@Jeb10307576,🆘‼️👮🔥 Netherlands: police stop a machete wielding attacker (shouting Allahu Akbar) with several shots in The Hague. Unno…,Neutral,0.0,['netherlands', 'allahu akbar', 'hague', 'unno…']
19,@ralphhallLvr,Paris terrorist attacked already getting blamed on white people.,Neutral,0.0,['white people']
20,@zflip26,Another terrorist attack in Paris. The people of France will not take much more of this. Will have a big effect on pre…,Positive,0.25,['terrorist attack', 'paris', 'france', 'will', 'big effect']
21,@mephistofish,2 female tourists are assaulted by Muslim migrants under the Eiffel Tower. The city of lights has gone dark. htt…,Negative,-0.075,['female tourists', 'muslim', 'eiffel tower']
22,@RickyDa45643274,Media scolds Trump for referring to Paris terror attack as a terror attack.,Neutral,0.0,['media', 'trump', 'paris', 'terror attack', 'terror attack']
23,@mendcommunity,How can Twitter tick an account which tweets out a cricket win as celebrating Paris attack'? Ban Fake news,Positive,0.15000000000000002,['twitter', 'paris', 'ban fake']
24,@derry3,Paul I am a Kipperbut how is this proof that they are celebrating the Paris terror attacks? You do yourself no cre…,Neutral,0.0,['paul', 'kipperbut', 'paris', 'terror attacks']
25,@GatorMama44,The police officer killed in the Paris attack was a proud defender of gay rights,Positive,0.33888888888888896,['police officer', 'paris', 'proud defender', 'gay rights']
26,@audibleakbar,How can Twitter tick an account which tweets out a cricket win as celebrating Paris attack'? Ban Fake news,Positive,0.15000000000000002,['twitter', 'paris', 'ban fake']
27,@PrincessofWails,Either Marine Le Pen wins this election or we make the "Pray for Paris" profile filter permanent.Your choice France.…,Positive,0.3,['either', 'pen', 'pray', 'paris', 'profile filter permanent.your choice', 'france.…']
28,@Hapjamlaw,The police officer killed in the Paris attack was a proud defender of gay rights,Positive,0.33888888888888896,['police officer', 'paris', 'proud defender', 'gay rights']
29,@SamanthaAxelson,4/ Next Clint Eastwood movie will feature an Oregon hero's story in stopping Paris train terror,Neutral,0.0,['clint eastwood', 'oregon', "hero 's story", 'paris', 'train terror']
30,@tiago_yola,Another terrorist attack in Paris. The people of France will not take much more of this. Will have a big effect on pre…,Positive,0.25,['terrorist attack', 'paris', 'france', 'will', 'big effect']
31,@AudiodjPuls,Dedicated to Michael's children are greatPRINCE PARIS AND BLANKET.,Neutral,0.0,['dedicated', 'michael', "'s children", 'paris and blanket']
32,@RABBITISH1,The police officer killed in the Paris attack was a proud defender of gay rights,Positive,0.33888888888888896,['police officer', 'paris', 'proud defender', 'gay rights']
33,@wildcard40001,Another terrorist attack in Paris. The people of France will not take much more of this. Will have a big effect on pre…,Positive,0.25,['terrorist attack', 'paris', 'france', 'will', 'big effect']
34,@91springer,Media Won't Show you Paris at War!Muslim "Refugee" Gangs attack Police  Locals 👉🏻Media remains silent as the invasion contin…,Neutral,0.0,['media wo', 'paris', 'muslim', 'refugee', 'gangs', 'locals', 'invasion contin…']
35,@horokhova,Best moment in Paris?Best moment of my life!,Positive,1.0,['paris']
36,@JamesTorres96,Another terrorist attack in Paris. The people of France will not take much more of this. Will have a big effect on pre…,Positive,0.25,['terrorist attack', 'paris', 'france', 'will', 'big effect']
37,@ParrotRico,Another terrorist attack in Paris. The people of France will not take much more of this. Will have a big effect on pre…,Positive,0.25,['terrorist attack', 'paris', 'france', 'will', 'big effect']
38,@62y0NZzmTsglEwR,hilton naked tits mature sex swingers,Positive,0.05,['mature sex swingers']
39,@FctHerve,Now more than ever.#ParisAttack htt…,Positive,0.5,['ever. #', 'parisattack']
40,@AlexBrookLynn,Today's ISIS terror attack in Paris might just put the far right's Marine Le Pen in power,Positive,0.19285714285714284,['isis', 'terror attack', 'paris', "'s marine", 'pen']
41,@Mar2vin,Another terrorist attack in Paris. The people of France will not take much more of this. Will have a big effect on pre…,Positive,0.25,['terrorist attack', 'paris', 'france', 'will', 'big effect']
42,@Trumpocrat17,Another terrorist attack in Paris. The people of France will not take much more of this. Will have a big effect on pre…,Positive,0.25,['terrorist attack', 'paris', 'france', 'will', 'big effect']
43,@MDavidMorris2,Marine Le Pen Post-Paris Terror Vows to Voters to Restore France Borders,Neutral,0.0,['pen post-paris', 'vows', 'restore france borders']
44,@nikkirojo4life,The police officer killed in the Paris attack was a proud defender of gay rights,Positive,0.33888888888888896,['police officer', 'paris', 'proud defender', 'gay rights']
45,@Clive_A_Boyce,BBC News - Clint Eastwood directs Paris train terror film,Neutral,0.0,['bbc', 'clint eastwood', 'paris', 'train terror film']
