index,author,tweet,label,polarity,nouns
1,@jbwallace,Cuba Gooding Sr. Found Slumped Over in His Jaguar—Items in the Car Lead to 'Overdose' Fears,Neutral,0.0,['cuba gooding sr. found slumped', 'jaguar—items', 'car lead']
2,@TheIJR,Cuba Gooding Sr. Found Slumped Over in His Jaguar—Items in the Car Lead to 'Overdose' Fears,Neutral,0.0,['cuba gooding sr. found slumped', 'jaguar—items', 'car lead']
3,@Echo73,R.I.P. Cuba Gooding Sr.#TheMainIngredient,Neutral,0.0,['r.i.p', 'cuba gooding sr.', 'themainingredient']
4,@grebprog,Cuba Gooding Sr. 70s Singer and Father to Cuba Jr. Dead at 72 via,Negative,-0.2,['cuba gooding sr.', 'singer', 'father', 'cuba jr. dead']
5,@Gatina29,Cuba Gooding Sr. lead singer of soul group The Main Ingredient dies at 72:,Positive,0.16666666666666666,['cuba gooding sr.', 'lead singer', 'soul group', 'ingredient']
6,@ZD19982,Cuba Gooding Sr. Found dead in his car at age 72.,Negative,-0.2,['cuba gooding sr. found']
7,@ty_beamer,Sad news today: Cuba Gooding Sr. found dead at age 72. Former lead singer of 70's soul band,Negative,-0.2333333333333333,['sad', 'cuba gooding sr.', 'lead singer', "'s soul band"]
8,@dabravanel,"It's something unreal!" RIP Cuba Gooding Sr.,Neutral,0.0,['rip cuba gooding sr']
9,@coachalita,Soul Singer Cuba Gooding Sr. Found Dead in His Car,Negative,-0.2,['soul singer cuba gooding sr. found dead', 'car']
10,@JhillyB,Soul Singer Cuba Gooding Sr. Found Dead in His Car sad news Everybody Plays the Fool ♥♥♥,Negative,-0.35,['soul singer cuba gooding sr. found dead', 'car', 'sad news', 'plays', 'fool']
11,@NorthsideKai,Cuba Gooding Sr. Found dead in his car at age 72.,Negative,-0.2,['cuba gooding sr. found']
12,@plastra,Cuba Gooding Sr. 'Everybody Plays the Fool' Singer  Dad to Oscar-Winning Actor Dies at 72: Report,Neutral,0.0,['cuba gooding sr.', 'plays', 'fool', 'singer dad', 'oscar-winning actor dies']
13,@Mr_sayedmoniem,Cuba Gooding Sr. found dead in his car by via,Negative,-0.2,['cuba gooding sr.']
