index,author,tweet,label,polarity,nouns
42,@porantext_,REMEMBER THE PROMISE MIA KHALIFA MADE ABOUT DONALD TRUMP’S,Neutral,0.0,['remember the promise mia khalifa made about donald trump’s']
43,@mrslovelykumari,REMEMBER THE PROMISE MIA KHALIFA MADE ABOUT DONALD TRUMP’S,Neutral,0.0,['remember the promise mia khalifa made about donald trump’s']
44,@Ohgod780Hero,REMEMBER THE PROMISE MIA KHALIFA MADE ABOUT DONALD TRUMP’S,Neutral,0.0,['remember the promise mia khalifa made about donald trump’s']
45,@pappuku32831597,REMEMBER THE PROMISE MIA KHALIFA MADE ABOUT DONALD TRUMP’S,Neutral,0.0,['remember the promise mia khalifa made about donald trump’s']
46,@patanjalirishi2,REMEMBER THE PROMISE MIA KHALIFA MADE ABOUT DONALD TRUMP’S,Neutral,0.0,['remember the promise mia khalifa made about donald trump’s']
47,@PALL_RANI,REMEMBER THE PROMISE MIA KHALIFA MADE ABOUT DONALD TRUMP’S,Neutral,0.0,['remember the promise mia khalifa made about donald trump’s']
48,@Realantionship1,REMEMBER THE PROMISE MIA KHALIFA MADE ABOUT DONALD TRUMP’S,Neutral,0.0,['remember the promise mia khalifa made about donald trump’s']
49,@RitikaSarma1,REMEMBER THE PROMISE MIA KHALIFA MADE ABOUT DONALD TRUMP’S,Neutral,0.0,['remember the promise mia khalifa made about donald trump’s']
50,@rajhavraj,REMEMBER THE PROMISE MIA KHALIFA MADE ABOUT DONALD TRUMP’S,Neutral,0.0,['remember the promise mia khalifa made about donald trump’s']
51,@prabhat20682140,REMEMBER THE PROMISE MIA KHALIFA MADE ABOUT DONALD TRUMP’S,Neutral,0.0,['remember the promise mia khalifa made about donald trump’s']
52,@porantexts,REMEMBER THE PROMISE MIA KHALIFA MADE ABOUT DONALD TRUMP’S,Neutral,0.0,['remember the promise mia khalifa made about donald trump’s']
53,@rajhav_kumar,REMEMBER THE PROMISE MIA KHALIFA MADE ABOUT DONALD TRUMP’S,Neutral,0.0,['remember the promise mia khalifa made about donald trump’s']
54,@RajhavRajiv,REMEMBER THE PROMISE MIA KHALIFA MADE ABOUT DONALD TRUMP’S,Neutral,0.0,['remember the promise mia khalifa made about donald trump’s']
55,@premranjan00091,REMEMBER THE PROMISE MIA KHALIFA MADE ABOUT DONALD TRUMP’S,Neutral,0.0,['remember the promise mia khalifa made about donald trump’s']
56,@quito_girl,REMEMBER THE PROMISE MIA KHALIFA MADE ABOUT DONALD TRUMP’S,Neutral,0.0,['remember the promise mia khalifa made about donald trump’s']
57,@racer_a2,REMEMBER THE PROMISE MIA KHALIFA MADE ABOUT DONALD TRUMP’S,Neutral,0.0,['remember the promise mia khalifa made about donald trump’s']
58,@quito_osho,REMEMBER THE PROMISE MIA KHALIFA MADE ABOUT DONALD TRUMP’S,Neutral,0.0,['remember the promise mia khalifa made about donald trump’s']
59,@pritendparents,REMEMBER THE PROMISE MIA KHALIFA MADE ABOUT DONALD TRUMP’S,Neutral,0.0,['remember the promise mia khalifa made about donald trump’s']
60,@Puls56898910,REMEMBER THE PROMISE MIA KHALIFA MADE ABOUT DONALD TRUMP’S,Neutral,0.0,['remember the promise mia khalifa made about donald trump’s']
61,@porantext,REMEMBER THE PROMISE MIA KHALIFA MADE ABOUT DONALD TRUMP’S,Neutral,0.0,['remember the promise mia khalifa made about donald trump’s']
62,@pihu950,REMEMBER THE PROMISE MIA KHALIFA MADE ABOUT DONALD TRUMP’S,Neutral,0.0,['remember the promise mia khalifa made about donald trump’s']
63,@onlytwet,REMEMBER THE PROMISE MIA KHALIFA MADE ABOUT DONALD TRUMP’S,Neutral,0.0,['remember the promise mia khalifa made about donald trump’s']
64,@AnthonyHarp,Trump just tweeted that it's ridiculous to hold him to a standard of getting stuff done the first 100 days. THIS was his o…,Negative,-0.027777777777777773,['trump', 'this']
65,@ofunnyname,REMEMBER THE PROMISE MIA KHALIFA MADE ABOUT DONALD TRUMP’S,Neutral,0.0,['remember the promise mia khalifa made about donald trump’s']
66,@tdayrichard,REMEMBER THE PROMISE MIA KHALIFA MADE ABOUT DONALD TRUMP’S,Neutral,0.0,['remember the promise mia khalifa made about donald trump’s']
