index,author,tweet,label,polarity,nouns
1,@eazeee2004,What lies ahead for the Eagles? Five takeaways from the 2017 regular season schedule,Neutral,0.0,['regular season schedule']
2,@b_johnson76,Here's another look at the 2017 schedule. Preseason dates and times were officially set too.,Neutral,0.0,['preseason']
3,@eazeee2004,A look at what lies ahead: Five takeaways from the Eagles regular season schedule,Neutral,0.0,['regular season schedule']
4,@eazeee2004,While we await the NFL Schedule release:Eagles Draft: Are we sleeping on Charles,Neutral,0.0,['nfl schedule', 'draft', 'charles']
5,@aschyan_tony,The 2017 schedule has been released:,Neutral,0.0,[]
6,@dnmarketplace,Good domain possibility?: www.Eagles Schedule ?? Its trending on google...,Positive,0.7,['good domain possibility', 'schedule', 'google ...']
7,@FactKINGFacts,Popular on Google: * Prince * Pittsburgh Penguins * Born in China * Ledell Lee * France * Eagles Schedule 2017 * Paul George * The Beguiled…,Positive,0.6,['popular', 'google', '* prince *', 'pittsburgh penguins', 'born', 'china', 'ledell lee', 'france', 'schedule', 'paul george', 'beguiled…']
8,@haasz_alex,And here it is: The 2017 regular season schedule,Neutral,0.0,['regular season schedule']
9,@FamousPixs,Here's another look at the 2017 schedule. Preseason dates and times were officially set too.,Neutral,0.0,['preseason']
10,@ryan_sarkos,Here's another look at the 2017 schedule. Preseason dates and times were officially set too.,Neutral,0.0,['preseason']
11,@eazeee2004,Breakdown of Eagles' 2017 schedule,Neutral,0.0,['breakdown']
12,@eazeee2004,Analyzing the Eagles' 2017 schedule,Neutral,0.0,['analyzing']
13,@eazeee2004,2017 NFL schedule: 10 Thoughts on the Eagles,Neutral,0.0,['nfl', 'thoughts']
14,@eazeee2004,Eagles 2017 schedule: Can Carson Wentz improve..,Neutral,0.0,['carson wentz']
15,@ashleygennett,And here it is: The 2017 regular season schedule,Neutral,0.0,['regular season schedule']
16,@eazeee2004,Eagles 2017 Schedule: Here are the games that ..,Neutral,0.0,['schedule']
17,@jestrada_swoosh,Eagles and Cowboys tie for 10th strongest schedule in 2017,Neutral,0.0,['cowboys']
18,@eazeee2004,Philadelphia Eagles 2017 schedule,Neutral,0.0,[]
19,@DeRsKeezY,And here it is: The 2017 regular season schedule,Neutral,0.0,['regular season schedule']
20,@_Telly_15,And here it is: The 2017 regular season schedule,Neutral,0.0,['regular season schedule']
21,@eazeee2004,The 2017 Eagles Regular Season Schedule Has Been Released -,Neutral,0.0,['regular season schedule', 'been released']
22,@elizabethnick_,Here's another look at the 2017 schedule. Preseason dates and times were officially set too.,Neutral,0.0,['preseason']
23,@BingBang35,And here it is: The 2017 regular season schedule,Neutral,0.0,['regular season schedule']
24,@eazeee2004,An in-depth look at the Eagles schedule (By:,Neutral,0.0,['in-depth look']
25,@eazeee2004,Three great things about the Eagles’ 2017 schedule,Positive,0.8,['great things', 'eagles’']
26,@eazeee2004,Philadelphia Eagles game-by-game record prediction for 2017,Neutral,0.0,['game-by-game record prediction']
27,@eazeee2004,The 2017 schedule has officially been released! Take a look at the entire schedule here:,Neutral,0.0,['entire schedule']
28,@BuzzCollins,And here it is: The 2017 regular season schedule,Neutral,0.0,['regular season schedule']
29,@sherrydfisher,Birds schedule is out. has highlights has game-by-game breakdown,Neutral,0.0,['game-by-game breakdown']
30,@eazeee2004,Analyzing schedule a test early late and lots of travel. Here are the details: via,Negative,-0.09999999999999999,['analyzing']
31,@eazeee2004,schedule a test early late w/lots of travel. A breakdown of the 2017 schedule. via,Negative,-0.09999999999999999,['late w/lots']
32,@eazeee2004,According to these are the toughest games on the 2017 schedule.,Neutral,0.0,['according', 'toughest games']
33,@sherrydfisher,Here's another look at the 2017 schedule. Preseason dates and times were officially set too.,Neutral,0.0,['preseason']
34,@MRfanFball,NFL Schedule Rumors: Giants to play Redskins on Thanksgiving Night ||,Neutral,0.0,['nfl schedule rumors', 'redskins', 'thanksgiving', 'night ||']
35,@eazeee2004,2017 Schedule: Game-by-game predictions |,Neutral,0.0,['schedule', 'game-by-game', 'predictions |']
36,@eazeee2004,2017 Schedule: Here are the games that will be the toughest to win -- and the ones they better not blow,Positive,0.65,['schedule']
37,@eazeee2004,Here is the 2017 Schedule with my Game-by-game predictions for each game. I see an improvement over last yr h…,Negative,-0.2,['schedule', 'game-by-game', 'yr h…']
38,@JOEL9ONE,And here it is: The 2017 regular season schedule,Neutral,0.0,['regular season schedule']
39,@eazeee2004,My game-by-game analysis of the 2017,Neutral,0.0,['game-by-game analysis']
40,@eagleyanksfan,My game-by-game analysis of the 2017,Neutral,0.0,['game-by-game analysis']
41,@eazeee2004,2017 Schedule:,Neutral,0.0,['schedule']
42,@TWITAUTOBOT,Eagles Schedule 2017,Neutral,0.0,['schedule']
43,@mightymouse460,Here's another look at the 2017 schedule. Preseason dates and times were officially set too.,Neutral,0.0,['preseason']
44,@NFL_FanTeam_Ldr,[cover32] - Breaking down the Philadelphia Eagles 2017 schedule,Negative,-0.15555555555555559,['[ cover32 ]', 'breaking', 'philadelphia']
45,@jmartttttt,And here it is: The 2017 regular season schedule,Neutral,0.0,['regular season schedule']
46,@Kali_dream11,According to these are the toughest games on the 2017 schedule.,Neutral,0.0,['according', 'toughest games']
47,@_Meezy96,Here's another look at the 2017 schedule. Preseason dates and times were officially set too.,Neutral,0.0,['preseason']
48,@S_Heslip,Here's another look at the 2017 schedule. Preseason dates and times were officially set too.,Neutral,0.0,['preseason']
49,@kymccoy21,Here's another look at the 2017 schedule. Preseason dates and times were officially set too.,Neutral,0.0,['preseason']
50,@albutes,And here it is: The 2017 regular season schedule,Neutral,0.0,['regular season schedule']
51,@SeattleNews360,2017 NFL Schedule Leak: Eagles will play back-to-back West Coast road games,Neutral,0.0,['nfl schedule leak', 'west coast road games']
52,@nick_of_billman,Here's another look at the 2017 schedule. Preseason dates and times were officially set too.,Neutral,0.0,['preseason']
53,@Blasian_kidd96,Here's another look at the 2017 schedule. Preseason dates and times were officially set too.,Neutral,0.0,['preseason']
54,@Chris_Johnson22,And here it is: The 2017 regular season schedule,Neutral,0.0,['regular season schedule']
55,@ACPressSports,Here's another look at the 2017 schedule. Preseason dates and times were officially set too.,Neutral,0.0,['preseason']
56,@sarabe21,And here it is: The 2017 regular season schedule,Neutral,0.0,['regular season schedule']
57,@DanielRochadeli,Here's another look at the 2017 schedule. Preseason dates and times were officially set too.,Neutral,0.0,['preseason']
58,@Yukirhythm,NFL Schedule Rumors: Giants to play Redskins on Thanksgiving Night,Neutral,0.0,['nfl schedule rumors', 'redskins', 'thanksgiving']
59,@zesty_eagles,Eagles 2017 schedule: Can Carson Wentz improve in Year 2? | game-by-game predictions,Neutral,0.0,['carson wentz', '| game-by-game predictions']
60,@r891SvAIolbftVy,2017 eagles schedule preview,Neutral,0.0,['eagles schedule preview']
61,@sabrina_dienst,And here it is: The 2017 regular season schedule,Neutral,0.0,['regular season schedule']
62,@tristinjones,Here's another look at the 2017 schedule. Preseason dates and times were officially set too.,Neutral,0.0,['preseason']
63,@offthescriptPHL,Here's another look at the 2017 schedule. Preseason dates and times were officially set too.,Neutral,0.0,['preseason']
64,@iam_mrmxvii,Here's another look at the 2017 schedule. Preseason dates and times were officially set too.,Neutral,0.0,['preseason']
65,@_mahawatoure,And here it is: The 2017 regular season schedule,Neutral,0.0,['regular season schedule']
66,@Anthony_DiBona,Eagles and Cowboys tie for 10th strongest schedule in 2017,Neutral,0.0,['cowboys']
67,@TheAaronHarpine,Here's another look at the 2017 schedule. Preseason dates and times were officially set too.,Neutral,0.0,['preseason']
68,@jdavis272012,Here's another look at the 2017 schedule. Preseason dates and times were officially set too.,Neutral,0.0,['preseason']
69,@wil_perez12,Here's another look at the 2017 schedule. Preseason dates and times were officially set too.,Neutral,0.0,['preseason']
70,@hunterbailey7,Here's another look at the 2017 schedule. Preseason dates and times were officially set too.,Neutral,0.0,['preseason']
71,@Sideshow8o8,And here it is: The 2017 regular season schedule,Neutral,0.0,['regular season schedule']
72,@DCitalstal,2017 🦅🏈schedule@🇺🇸🏛@👨🏻‍🍳🗽@⚡️🌵@🐈🇺🇸🏛🌁🐴@🤠💩🐻@🌧☕️@🐏@🗽☠️🤠💩@975Mornings,Neutral,0.0,['🦅🏈schedule @ 🇺🇸🏛 @ 👨🏻\u200d🍳🗽 @ ⚡️🌵 @ 🐈🇺🇸🏛🌁🐴 @ 🤠💩🐻 @ 🌧☕️ @ 🐏 @ 🗽☠️🤠💩 @ 975mornings']
73,@birch_beer007,Because I'm not me if I don't get overly hype about the in April,Neutral,0.0,['april']
74,@gabby13xo,And here it is: The 2017 regular season schedule,Neutral,0.0,['regular season schedule']
75,@Joe_Schiavoni,And here it is: The 2017 regular season schedule,Neutral,0.0,['regular season schedule']
76,@JSimoncavage,Eagles 2017 schedule: Game-by-game breakdown more info at: By,Positive,0.5,['game-by-game']
77,@s_middleton07,Here's another look at the 2017 schedule. Preseason dates and times were officially set too.,Neutral,0.0,['preseason']
78,@TommyTomko,Here's another look at the 2017 schedule. Preseason dates and times were officially set too.,Neutral,0.0,['preseason']
79,@sportmetweets,Schedule Leak: Eagles will play back-to-back West Coast road games,Neutral,0.0,['schedule leak', 'west coast road games']
80,@PLAY_THE_KID,Here's another look at the 2017 schedule. Preseason dates and times were officially set too.,Neutral,0.0,['preseason']
81,@_Hernandez73,Here's another look at the 2017 schedule. Preseason dates and times were officially set too.,Neutral,0.0,['preseason']
82,@DonEggon,Eagles 2017 schedule is out ...,Neutral,0.0,[]
83,@FuManLu113,Here's another look at the 2017 schedule. Preseason dates and times were officially set too.,Neutral,0.0,['preseason']
84,@ovoemilyann,Here's another look at the 2017 schedule. Preseason dates and times were officially set too.,Neutral,0.0,['preseason']
85,@KinggDarius_,And here it is: The 2017 regular season schedule,Neutral,0.0,['regular season schedule']
86,@BelperioDenise,Philadelphia Eagles Schedule 2017: Dates opponents game times tickets and more,Positive,0.04999999999999999,['schedule', 'dates', 'opponents game times tickets']
87,@SheChose_Dee,And here it is: The 2017 regular season schedule,Neutral,0.0,['regular season schedule']
88,@lizzieenguyen,Here's another look at the 2017 schedule. Preseason dates and times were officially set too.,Neutral,0.0,['preseason']
89,@sk8rkoby,Here's another look at the 2017 schedule. Preseason dates and times were officially set too.,Neutral,0.0,['preseason']
90,@WIPMiddayShow,How do you feel about the Eagles' 2017 schedule?,Neutral,0.0,[]
91,@aweSAM_xo,Here's another look at the 2017 schedule. Preseason dates and times were officially set too.,Neutral,0.0,['preseason']
92,@cusky88,Here's another look at the 2017 schedule. Preseason dates and times were officially set too.,Neutral,0.0,['preseason']
93,@cshep1989,And here it is: The 2017 regular season schedule,Neutral,0.0,['regular season schedule']
94,@brendan_mike27,And here it is: The 2017 regular season schedule,Neutral,0.0,['regular season schedule']
95,@BelperioDenise,NFL schedule 2017: Eagles to play Seahawks Rams in back-to-back weeks report says,Neutral,0.0,['nfl', 'seahawks rams', 'back-to-back weeks']
96,@kalimthedream3,Here's another look at the 2017 schedule. Preseason dates and times were officially set too.,Neutral,0.0,['preseason']
97,@nicholasquiles1,Here's another look at the 2017 schedule. Preseason dates and times were officially set too.,Neutral,0.0,['preseason']
98,@d1ballsquez,Here's another look at the 2017 schedule. Preseason dates and times were officially set too.,Neutral,0.0,['preseason']
99,@jarby4prez,And here it is: The 2017 regular season schedule,Neutral,0.0,['regular season schedule']
100,@Kevbot75,OFFICIAL: Philadelphia Eagles 2017 Schedule Is Here,Neutral,0.0,['official', 'philadelphia', 'schedule']
