index,author,tweet,label,polarity,nouns
1,@WMUR9,Cuba Gooding Sr. found dead at 72,Negative,-0.2,['cuba gooding sr.']
2,@wdsu,Cuba Gooding Sr. found dead at 72,Negative,-0.2,['cuba gooding sr.']
3,@thefader,Singer Cuba Gooding Sr. father to actor Cuba Jr found dead.,Negative,-0.2,['singer cuba gooding sr.', 'cuba jr']
4,@News12NJ,Singer Cuba Gooding Sr. found dead in car in Los Angeles,Negative,-0.2,['singer cuba gooding sr.', 'los angeles']
5,@ksatnews,Singer Cuba Gooding Sr. found dead in car in Los Angeles,Negative,-0.2,['singer cuba gooding sr.', 'los angeles']
6,@SeyahMe,Cuba Gooding Sr. singer of 1972 hit "Everybody Plays the Fool" and father of actor Cuba Gooding Jr. dies at age 72,Neutral,0.0,['cuba gooding sr.', 'plays', 'fool', 'cuba gooding jr.']
7,@officialzaygod,Cuba Gooding Sr. was the lead singer of the group 'The Main Ingredient'. Here's a clip of him performance on Soul Train…,Positive,0.16666666666666666,['cuba gooding sr.', 'lead singer', "group 'the", 'ingredient', 'soul train…']
8,@DCHomegrown,Singer Cuba Gooding Sr. found dead in car in Los Angeles - ABC News - via,Negative,-0.2,['singer cuba gooding sr.', 'los angeles', 'abc']
9,@troysgirl,RIP Cuba Gooding Sr. lead singer of The Main Ingedient.,Positive,0.16666666666666666,['rip cuba gooding sr.', 'lead singer', 'ingedient']
10,@sunnypeaceful01,70s Soul singer Cuba Gooding Sr. lead vocalist for The Main Ingredient found dead in a car in Los Angeles,Negative,-0.016666666666666677,['soul', 'cuba gooding sr.', 'lead vocalist', 'ingredient', 'los angeles']
11,@933thebeatjamz,Coming up at 6:54 Angela Yee's Rumor Report.Find out what happened to Cuba Gooding Sr.?…,Neutral,0.0,['coming', 'angela yee', 'rumor report.find', 'cuba gooding sr.']
12,@MaiKylSmith,Coming up at 6:54 Angela Yee's Rumor Report.Find out what happened to Cuba Gooding Sr.?…,Neutral,0.0,['coming', 'angela yee', 'rumor report.find', 'cuba gooding sr.']
13,@USA_Update_,Reports: Cuba Gooding Sr. Oscar winner's dad dies,Neutral,0.0,['cuba gooding sr. oscar', "winner 's dad"]
14,@NeverDauntedNet,R.I.P. Singer Cuba Gooding Sr of The Main Ingredient singing group. Known for the hits,Positive,0.16666666666666666,['r.i.p', 'singer cuba gooding sr', 'ingredient', 'known']
15,@_waldy,Cuba Gooding Sr. who sang the 1972 hit "Everybody Plays the Fool" has died,Neutral,0.0,['cuba gooding sr.', 'plays', 'fool']
16,@WBNG12News,Cuba Gooding Sr. who sang the 1972 hit "Everybody Plays the Fool" has died,Neutral,0.0,['cuba gooding sr.', 'plays', 'fool']
17,@KevinYounge,Singer Cuba Gooding Sr. the lead singer of The Main Ingredient and best known for the '72 hit Everybody Plays the Fool is de…,Positive,0.5833333333333334,['singer cuba gooding sr.', 'lead singer', 'ingredient', 'plays', 'fool']
