index,author,tweet,label,polarity,nouns
38,@thefunnysposts,REMEMBER THE PROMISE MIA KHALIFA MADE ABOUT DONALD TRUMP’S,Neutral,0.0,['remember the promise mia khalifa made about donald trump’s']
39,@vibhuvibhu57,REMEMBER THE PROMISE MIA KHALIFA MADE ABOUT DONALD TRUMP’S,Neutral,0.0,['remember the promise mia khalifa made about donald trump’s']
40,@thingsofact,REMEMBER THE PROMISE MIA KHALIFA MADE ABOUT DONALD TRUMP’S,Neutral,0.0,['remember the promise mia khalifa made about donald trump’s']
41,@SumanKu06046771,REMEMBER THE PROMISE MIA KHALIFA MADE ABOUT DONALD TRUMP’S,Neutral,0.0,['remember the promise mia khalifa made about donald trump’s']
42,@storyoffact,REMEMBER THE PROMISE MIA KHALIFA MADE ABOUT DONALD TRUMP’S,Neutral,0.0,['remember the promise mia khalifa made about donald trump’s']
43,@mrs_lovelysingh,REMEMBER THE PROMISE MIA KHALIFA MADE ABOUT DONALD TRUMP’S,Neutral,0.0,['remember the promise mia khalifa made about donald trump’s']
44,@Mylikestweet1,REMEMBER THE PROMISE MIA KHALIFA MADE ABOUT DONALD TRUMP’S,Neutral,0.0,['remember the promise mia khalifa made about donald trump’s']
45,@mykaljackson42,REMEMBER THE PROMISE MIA KHALIFA MADE ABOUT DONALD TRUMP’S,Neutral,0.0,['remember the promise mia khalifa made about donald trump’s']
46,@mewisepost,REMEMBER THE PROMISE MIA KHALIFA MADE ABOUT DONALD TRUMP’S,Neutral,0.0,['remember the promise mia khalifa made about donald trump’s']
47,@Monti_dudu,REMEMBER THE PROMISE MIA KHALIFA MADE ABOUT DONALD TRUMP’S,Neutral,0.0,['remember the promise mia khalifa made about donald trump’s']
48,@mithlesh__,REMEMBER THE PROMISE MIA KHALIFA MADE ABOUT DONALD TRUMP’S,Neutral,0.0,['remember the promise mia khalifa made about donald trump’s']
49,@mindconsole_,REMEMBER THE PROMISE MIA KHALIFA MADE ABOUT DONALD TRUMP’S,Neutral,0.0,['remember the promise mia khalifa made about donald trump’s']
50,@masivethoughts,REMEMBER THE PROMISE MIA KHALIFA MADE ABOUT DONALD TRUMP’S,Neutral,0.0,['remember the promise mia khalifa made about donald trump’s']
51,@marrigold5,REMEMBER THE PROMISE MIA KHALIFA MADE ABOUT DONALD TRUMP’S,Neutral,0.0,['remember the promise mia khalifa made about donald trump’s']
52,@Mayank100k,REMEMBER THE PROMISE MIA KHALIFA MADE ABOUT DONALD TRUMP’S,Neutral,0.0,['remember the promise mia khalifa made about donald trump’s']
53,@MaclenTaco,REMEMBER THE PROMISE MIA KHALIFA MADE ABOUT DONALD TRUMP’S,Neutral,0.0,['remember the promise mia khalifa made about donald trump’s']
54,@mahimarani21,REMEMBER THE PROMISE MIA KHALIFA MADE ABOUT DONALD TRUMP’S,Neutral,0.0,['remember the promise mia khalifa made about donald trump’s']
55,@shrutidarling2,REMEMBER THE PROMISE MIA KHALIFA MADE ABOUT DONALD TRUMP’S,Neutral,0.0,['remember the promise mia khalifa made about donald trump’s']
56,@ranilikes,REMEMBER THE PROMISE MIA KHALIFA MADE ABOUT DONALD TRUMP’S,Neutral,0.0,['remember the promise mia khalifa made about donald trump’s']
57,@mannara13,REMEMBER THE PROMISE MIA KHALIFA MADE ABOUT DONALD TRUMP’S,Neutral,0.0,['remember the promise mia khalifa made about donald trump’s']
58,@lovesecret0401,REMEMBER THE PROMISE MIA KHALIFA MADE ABOUT DONALD TRUMP’S,Neutral,0.0,['remember the promise mia khalifa made about donald trump’s']
59,@lovezone_,REMEMBER THE PROMISE MIA KHALIFA MADE ABOUT DONALD TRUMP’S,Neutral,0.0,['remember the promise mia khalifa made about donald trump’s']
60,@loveraj_lucky,REMEMBER THE PROMISE MIA KHALIFA MADE ABOUT DONALD TRUMP’S,Neutral,0.0,['remember the promise mia khalifa made about donald trump’s']
61,@sanojisla123,REMEMBER THE PROMISE MIA KHALIFA MADE ABOUT DONALD TRUMP’S,Neutral,0.0,['remember the promise mia khalifa made about donald trump’s']
62,@ruhiraj11,REMEMBER THE PROMISE MIA KHALIFA MADE ABOUT DONALD TRUMP’S,Neutral,0.0,['remember the promise mia khalifa made about donald trump’s']
63,@rajsonu0096,REMEMBER THE PROMISE MIA KHALIFA MADE ABOUT DONALD TRUMP’S,Neutral,0.0,['remember the promise mia khalifa made about donald trump’s']
64,@RoseBautiful,REMEMBER THE PROMISE MIA KHALIFA MADE ABOUT DONALD TRUMP’S,Neutral,0.0,['remember the promise mia khalifa made about donald trump’s']
65,@rani22_usha,REMEMBER THE PROMISE MIA KHALIFA MADE ABOUT DONALD TRUMP’S,Neutral,0.0,['remember the promise mia khalifa made about donald trump’s']
66,@sourfunny,REMEMBER THE PROMISE MIA KHALIFA MADE ABOUT DONALD TRUMP’S,Neutral,0.0,['remember the promise mia khalifa made about donald trump’s']
67,@socrazy_people,REMEMBER THE PROMISE MIA KHALIFA MADE ABOUT DONALD TRUMP’S,Neutral,0.0,['remember the promise mia khalifa made about donald trump’s']
68,@soamazingthing,REMEMBER THE PROMISE MIA KHALIFA MADE ABOUT DONALD TRUMP’S,Neutral,0.0,['remember the promise mia khalifa made about donald trump’s']
69,@sofunnyname,REMEMBER THE PROMISE MIA KHALIFA MADE ABOUT DONALD TRUMP’S,Neutral,0.0,['remember the promise mia khalifa made about donald trump’s']
70,@socrazyname,REMEMBER THE PROMISE MIA KHALIFA MADE ABOUT DONALD TRUMP’S,Neutral,0.0,['remember the promise mia khalifa made about donald trump’s']
